t;yObs;yRef;yCam;yKalman
0;1205.406052;0;1205.428955;1205.428955
2;1205.406052;0;1205.428955;1205.428955
4;1205.406052;0;1205.428955;1205.428955
6;1205.406052;0;1205.428955;1205.428955
8;1205.406052;0;1205.428955;1205.428955
10;1205.406052;0;1205.428955;1205.428955
12;1205.406052;0;1205.428955;1205.428955
14;1205.406052;0;1205.428955;1205.428955
16;1205.406052;0;1205.428955;1205.428955
18;1205.406052;0;1205.428955;1205.428955
20;1205.406052;0;1205.428955;1205.428955
22;1205.406052;0;1205.428955;1205.428955
24;1205.406052;0;1205.428955;1205.428955
26;1205.406052;0;1205.428955;1205.428955
28;1205.406052;0;1205.428955;1205.428955
30;1205.406052;0;1205.428955;1205.428955
32;1205.406052;0;1205.428955;1205.428955
34;1205.406052;0;1205.428955;1205.428955
36;1205.406052;0;1205.428955;1205.428955
38;1205.406052;0;1205.428955;1205.428955
40;1205.406052;0;1205.428955;1205.428955
42;1205.406052;0;1205.428955;1205.428955
44;1205.406052;0;1205.428955;1205.428955
46;1205.406052;0;1205.428955;1205.428955
48;1205.406052;0;1205.428955;1205.428955
50;1205.405993;0;1205.404419;1205.404419
52;1205.405993;0;1205.404419;1205.404419
54;1205.405993;0;1205.404419;1205.404419
56;1205.405993;0;1205.404419;1205.404419
58;1205.405993;0;1205.404419;1205.404419
60;1205.405993;0;1205.404419;1205.404419
62;1205.405993;0;1205.404419;1205.404419
64;1205.405993;0;1205.404419;1205.404419
66;1205.405993;0;1205.404419;1205.404419
68;1205.405993;0;1205.404419;1205.404419
70;1205.405993;0;1205.404419;1205.404419
72;1205.405993;0;1205.404419;1205.404419
74;1205.405993;0;1205.404419;1205.404419
76;1205.405993;0;1205.404419;1205.404419
78;1205.405993;0;1205.404419;1205.404419
80;1205.405993;0;1205.404419;1205.404419
82;1205.405993;0;1205.404419;1205.404419
84;1205.405993;0;1205.404419;1205.404419
86;1205.405993;0;1205.404419;1205.404419
88;1205.405993;0;1205.404419;1205.404419
90;1205.405993;0;1205.404419;1205.404419
92;1205.405993;0;1205.404419;1205.404419
94;1205.405993;0;1205.404419;1205.404419
96;1205.405993;0;1205.404419;1205.404419
98;1205.405993;0;1205.404419;1205.404419
100;1205.405993;0;1205.404419;1205.404419
102;1205.405993;0;1205.404419;1205.404419
104;1205.405993;0;1205.404419;1205.404419
106;1205.405993;0;1205.404419;1205.404419
108;1205.405993;0;1205.404419;1205.404419
110;1205.404768;0;1205.371948;1205.371949
112;1205.404768;0;1205.371948;1205.371949
