t;xObs;xRef;xCam;xKalman
0;3297.1390630803439;3227.6055744027631;3297.15380859375;3297.1538086610376
2;3297.1390630803439;3227.6055744027631;3297.15380859375;3297.1538086610376
4;3297.1390630803439;3227.6055744027631;3297.15380859375;3297.1538086610376
6;3297.1390630803439;3227.6055744027631;3297.15380859375;3297.1538086610376
8;3297.1390630803439;3227.6055744027631;3297.15380859375;3297.1538086610376
10;3297.1390630803439;3227.6055744027631;3297.15380859375;3297.1538086610376
12;3297.1390630803439;3227.6055744027631;3297.15380859375;3297.1538086610376
14;3297.1390630803439;3227.6055744027631;3297.15380859375;3297.1538086610376
16;3297.1390630803439;3227.6055744027631;3297.15380859375;3297.1538086610376
18;3297.1390630803439;3227.6055744027631;3297.15380859375;3297.1538086610376
20;3297.1390630803439;3227.6055744027631;3297.15380859375;3297.1538086610376
22;3297.1390630803439;3227.6055744027631;3297.15380859375;3297.1538086610376
24;3297.1390630803439;3227.6055744027631;3297.15380859375;3297.1538086610376
26;3297.1390630803439;3227.6055744027631;3297.15380859375;3297.1538086610376
28;3297.1390630803439;3227.6055744027631;3297.15380859375;3297.1538086610376
30;3297.1390630803439;3227.6055744027631;3297.15380859375;3297.1538086610376
32;3297.1390630803439;3227.6055744027631;3297.15380859375;3297.1538086610376
34;3297.1390630803439;3227.6055744027631;3297.15380859375;3297.1538086610376
36;3297.1390630803439;3227.6055744027631;3297.15380859375;3297.1538086610376
38;3297.1398488016389;3227.6055744027631;3297.160888671875;3297.1608884154543
40;3297.1398488016389;3227.6055744027631;3297.160888671875;3297.1608884154543
42;3297.1398488016389;3227.6055744027631;3297.160888671875;3297.1608884154543
44;3297.1398488016389;3227.6055744027631;3297.160888671875;3297.1608884154543
46;3297.1398488016389;3227.6055744027631;3297.160888671875;3297.1608884154543
48;3297.1398488016389;3227.6055744027631;3297.160888671875;3297.1608884154543
50;3297.1398488016389;3227.6055744027631;3297.160888671875;3297.1608884154543
52;3297.1398488016389;3227.6055744027631;3297.160888671875;3297.1608884154543
54;3297.1398488016389;3227.6055744027631;3297.160888671875;3297.1608884154543
56;3297.1398488016389;3227.6055744027631;3297.160888671875;3297.1608884154543
58;3297.1398488016389;3227.6055744027631;3297.160888671875;3297.1608884154543
60;3297.1398488016389;3227.6055744027631;3297.160888671875;3297.1608884154543
62;3297.1398488016389;3227.6055744027631;3297.160888671875;3297.1608884154543
64;3297.1398488016389;3227.6055744027631;3297.160888671875;3297.1608884154543
66;3297.1398488016389;3227.6055744027631;3297.160888671875;3297.1608884154543
68;3297.1398488016389;3227.6055744027631;3297.160888671875;3297.1608884154543
70;3297.1398488016389;3227.6055744027631;3297.160888671875;3297.1608884154543
72;3297.1398488016389;3227.6055744027631;3297.160888671875;3297.1608884154543
74;3297.1398488016389;3227.6055744027631;3297.160888671875;3297.1608884154543
76;3297.1398488016389;3227.6055744027631;3297.160888671875;3297.1608884154543
78;3297.14012283853;3227.6055744027631;3297.1474609375;3297.1474609921538
80;3297.14012283853;3227.6055744027631;3297.1474609375;3297.1474609921538
82;3297.14012283853;3227.6055744027631;3297.1474609375;3297.1474609921538
84;3297.14012283853;3227.6055744027631;3297.1474609375;3297.1474609921538
86;3297.14012283853;3227.6055744027631;3297.1474609375;3297.1474609921538
88;3297.14012283853;3227.6055744027631;3297.1474609375;3297.1474609921538
90;3297.14012283853;3227.6055744027631;3297.1474609375;3297.1474609921538
92;3297.14012283853;3227.6055744027631;3297.1474609375;3297.1474609921538
94;3297.14012283853;3227.6055744027631;3297.1474609375;3297.1474609921538
96;3297.14012283853;3227.6055744027631;3297.1474609375;3297.1474609921538
98;3297.14012283853;3227.6055744027631;3297.1474609375;3297.1474609921538
100;3297.14012283853;3227.6055744027631;3297.1474609375;3297.1474609921538
102;3297.14012283853;3227.6055744027631;3297.1474609375;3297.1474609921538
104;3297.14012283853;3227.6055744027631;3297.1474609375;3297.1474609921538
106;3297.14012283853;3227.6055744027631;3297.1474609375;3297.1474609921538
108;3297.14012283853;3227.6055744027631;3297.1474609375;3297.1474609921538
110;3297.14012283853;3227.6055744027631;3297.1474609375;3297.1474609921538
112;3297.14012283853;3227.6055744027631;3297.1474609375;3297.1474609921538
114;3297.14012283853;3227.6055744027631;3297.1474609375;3297.1474609921538
116;3297.14012283853;3227.6055744027631;3297.1474609375;3297.1474609921538
118;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
120;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
122;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
124;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
126;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
128;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
130;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
132;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
134;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
136;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
138;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
140;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
142;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
144;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
146;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
148;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
150;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
152;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
154;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
156;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
158;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
160;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
162;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
164;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
166;3297.1403342757176;3227.6055744027631;3297.14599609375;3297.145996153487
168;3297.1400459136667;3227.6055744027631;3297.13232421875;3297.1323246149495
170;3297.1400459136667;3227.6055744027631;3297.13232421875;3297.1323246149495
172;3297.1400459136667;3227.6055744027631;3297.13232421875;3297.1323246149495
174;3297.1400459136667;3227.6055744027631;3297.13232421875;3297.1323246149495
176;3297.1400459136667;3227.6055744027631;3297.13232421875;3297.1323246149495
178;3297.1400459136667;3227.6055744027631;3297.13232421875;3297.1323246149495
180;3297.1400459136667;3227.6055744027631;3297.13232421875;3297.1323246149495
182;3297.1400459136667;3227.6055744027631;3297.13232421875;3297.1323246149495
184;3297.1400459136667;3227.6055744027631;3297.13232421875;3297.1323246149495
186;3297.1400459136667;3227.6055744027631;3297.13232421875;3297.1323246149495
188;3297.1400459136667;3227.6055744027631;3297.13232421875;3297.1323246149495
190;3297.1400459136667;3227.6055744027631;3297.13232421875;3297.1323246149495
192;3297.1400459136667;3227.6055744027631;3297.13232421875;3297.1323246149495
194;3297.1400459136667;3227.6055744027631;3297.13232421875;3297.1323246149495
196;3297.1400459136667;3227.6055744027631;3297.13232421875;3297.1323246149495
198;3297.1400459136667;3227.6055744027631;3297.13232421875;3297.1323246149495
200;3297.1400459136667;3227.6055744027631;3297.13232421875;3297.1323246149495
202;3297.1400459136667;3227.6055744027631;3297.13232421875;3297.1323246149495
204;3297.1400459136667;3227.6055744027631;3297.13232421875;3297.1323246149495
206;3297.1400459136667;3227.6055744027631;3297.13232421875;3297.1323246149495
208;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
210;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
212;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
214;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
216;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
218;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
220;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
222;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
224;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
226;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
228;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
230;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
232;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
234;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
236;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
238;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
240;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
242;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
244;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
246;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
248;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
250;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
252;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
254;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
256;3297.1403480107747;3227.6055744027631;3297.1484375;3297.1484372393434
258;3297.140059154262;3227.6055744027631;3297.13232421875;3297.1323243679867
260;3297.140059154262;3227.6055744027631;3297.13232421875;3297.1323243679867
262;3297.140059154262;3227.6055744027631;3297.13232421875;3297.1323243679867
264;3297.140059154262;3227.6055744027631;3297.13232421875;3297.1323243679867
266;3297.140059154262;3227.6055744027631;3297.13232421875;3297.1323243679867
268;3297.140059154262;3227.6055744027631;3297.13232421875;3297.1323243679867
270;3297.140059154262;3227.6055744027631;3297.13232421875;3297.1323243679867
272;3297.140059154262;3227.6055744027631;3297.13232421875;3297.1323243679867
274;3297.140059154262;3227.6055744027631;3297.13232421875;3297.1323243679867
276;3297.140059154262;3227.6055744027631;3297.13232421875;3297.1323243679867
278;3297.140059154262;3227.6055744027631;3297.13232421875;3297.1323243679867
280;3297.1381506619991;3227.6055744027631;3297.13232421875;3297.1304155317612
282;3297.1362421744475;3227.6055744027631;3297.13232421875;3297.1285067002391
284;3297.134333691607;3227.6055744027631;3297.13232421875;3297.1265978734209
286;3297.1324252134782;3227.6055744027631;3297.13232421875;3297.1246890513062
288;3297.130516740061;3227.6055744027631;3297.13232421875;3297.1227802338954
290;3297.130516740061;3227.6055744027631;3297.13232421875;3297.1227802338954
292;3297.130516740061;3227.6055744027631;3297.13232421875;3297.1227802338954
294;3297.130516740061;3227.6055744027631;3297.13232421875;3297.1227802338954
296;3297.130516740061;3227.6055744027631;3297.13232421875;3297.1227802338954
298;3297.1303708717937;3227.6055744027631;3297.12646484375;3297.1264648411516
300;3297.1303708717937;3227.6055744027631;3297.12646484375;3297.1264648411516
302;3297.1303708717937;3227.6055744027631;3297.12646484375;3297.1264648411516
304;3297.1303708717937;3227.6055744027631;3297.12646484375;3297.1264648411516
306;3297.1303708717937;3227.6055744027631;3297.12646484375;3297.1264648411516
308;3297.1303708717937;3227.6055744027631;3297.12646484375;3297.1264648411516
310;3297.1303708717937;3227.6055744027631;3297.12646484375;3297.1264648411516
312;3297.1303708717937;3227.6055744027631;3297.12646484375;3297.1264648411516
314;3297.1303708717937;3227.6055744027631;3297.12646484375;3297.1264648411516
316;3297.1303708717937;3227.6055744027631;3297.12646484375;3297.1264648411516
318;3297.1303708717937;3227.6055744027631;3297.12646484375;3297.1264648411516
320;3297.1303708717937;3227.6055744027631;3297.12646484375;3297.1264648411516
322;3297.1303708717937;3227.6055744027631;3297.12646484375;3297.1264648411516
324;3297.1303708717937;3227.6055744027631;3297.12646484375;3297.1264648411516
326;3297.1303708717937;3227.6055744027631;3297.12646484375;3297.1264648411516
328;3297.1303708717937;3227.6055744027631;3297.12646484375;3297.1264648411516
330;3297.1303708717937;3227.6055744027631;3297.12646484375;3297.1264648411516
332;3297.1303708717937;3227.6055744027631;3297.12646484375;3297.1264648411516
334;3297.1303708717937;3227.6055744027631;3297.12646484375;3297.1264648411516
336;3297.1303708717937;3227.6055744027631;3297.12646484375;3297.1264648411516
338;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
340;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
342;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
344;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
346;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
348;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
350;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
352;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
354;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
356;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
358;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
360;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
362;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
364;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
366;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
368;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
370;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
372;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
374;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
376;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
378;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
380;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
382;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
384;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
386;3297.1300984188465;3227.6055744027631;3297.122802734375;3297.122802393098
388;3297.1311629226429;3227.6055744027631;3297.15966796875;3297.1596680404004
390;3297.1311629226429;3227.6055744027631;3297.15966796875;3297.1596680404004
392;3297.1311629226429;3227.6055744027631;3297.15966796875;3297.1596680404004
394;3297.1311629226429;3227.6055744027631;3297.15966796875;3297.1596680404004
396;3297.1311629226429;3227.6055744027631;3297.15966796875;3297.1596680404004
398;3297.1311629226429;3227.6055744027631;3297.15966796875;3297.1596680404004
400;3297.1311629226429;3227.6055744027631;3297.15966796875;3297.1596680404004
402;3297.1311629226429;3227.6055744027631;3297.15966796875;3297.1596680404004
404;3297.1311629226429;3227.6055744027631;3297.15966796875;3297.1596680404004
406;3297.1311629226429;3227.6055744027631;3297.15966796875;3297.1596680404004
408;3297.1311629226429;3227.6055744027631;3297.15966796875;3297.1596680404004
410;3297.1311629226429;3227.6055744027631;3297.15966796875;3297.1596680404004
412;3297.1311629226429;3227.6055744027631;3297.15966796875;3297.1596680404004
414;3297.1311629226429;3227.6055744027631;3297.15966796875;3297.1596680404004
416;3297.1311629226429;3227.6055744027631;3297.15966796875;3297.1596680404004
418;3297.1311629226429;3227.6055744027631;3297.15966796875;3297.1596680404004
420;3297.1311629226429;3227.6055744027631;3297.15966796875;3297.1596680404004
422;3297.1311629226429;3227.6055744027631;3297.15966796875;3297.1596680404004
424;3297.1311629226429;3227.6055744027631;3297.15966796875;3297.1596680404004
426;3297.1311629226429;3227.6055744027631;3297.15966796875;3297.1596680404004
428;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
430;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
432;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
434;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
436;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
438;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
440;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
442;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
444;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
446;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
448;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
450;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
452;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
454;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
456;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
458;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
460;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
462;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
464;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
466;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
468;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
470;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
472;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
474;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
476;3297.1310641043028;3227.6055744027631;3297.12841796875;3297.1284182361132
478;3297.1303184527978;3227.6055744027631;3297.1103515625;3297.1103516742633
480;3297.1303184527978;3227.6055744027631;3297.1103515625;3297.1103516742633
482;3297.1303184527978;3227.6055744027631;3297.1103515625;3297.1103516742633
484;3297.1303184527978;3227.6055744027631;3297.1103515625;3297.1103516742633
486;3297.1303184527978;3227.6055744027631;3297.1103515625;3297.1103516742633
488;3297.1303184527978;3227.6055744027631;3297.1103515625;3297.1103516742633
490;3297.1303184527978;3227.6055744027631;3297.1103515625;3297.1103516742633
492;3297.1303184527978;3227.6055744027631;3297.1103515625;3297.1103516742633
494;3297.1303184527978;3227.6055744027631;3297.1103515625;3297.1103516742633
496;3297.1303184527978;3227.6055744027631;3297.1103515625;3297.1103516742633
498;3297.1303184527978;3227.6055744027631;3297.1103515625;3297.1103516742633
500;3297.1303184527978;3227.6055744027631;3297.1103515625;3297.1103516742633
502;3297.1303184527978;3227.6055744027631;3297.1103515625;3297.1103516742633
504;3297.1303184527978;3227.6055744027631;3297.1103515625;3297.1103516742633
506;3297.1303184527978;3227.6055744027631;3297.1103515625;3297.1103516742633
508;3297.1303184527978;3227.6055744027631;3297.1103515625;3297.1103516742633
510;3297.1303184527978;3227.6055744027631;3297.1103515625;3297.1103516742633
512;3297.1303184527978;3227.6055744027631;3297.1103515625;3297.1103516742633
514;3297.1303184527978;3227.6055744027631;3297.1103515625;3297.1103516742633
516;3297.1303184527978;3227.6055744027631;3297.1103515625;3297.1103516742633
518;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
520;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
522;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
524;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
526;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
528;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
530;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
532;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
534;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
536;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
538;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
540;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
542;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
544;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
546;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
548;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
550;3297.131533238497;3227.6055744027631;3297.1640625;3297.1640615960437
