Name;MeasurementsNew;
File;E:\hawino\Matlab\Reglertuning\tuning1_11.csv;
Starttime of export;133271641358622000;Freitag, 28. April 2023;16:02:15.862
Endtime of export;133271641468502000;Freitag, 28. April 2023;16:02:26.850


Name;xCam, yCam X;xCam, yCam Y;xObs, yObs X;xObs, yObs Y;xRef, yRef X;xRef, yRef Y;xKalman, yKalman X;xKalman, yKalman Y;xAdaptKalman, yAdaptKalman X;xAdaptKalman, yAdaptKalman Y;xObs;xRef;xCam;xKalman;xAdaptKalman;yObs;yRef;yCam;yKalman;yAdaptKalman;thetaObs;thetaCam;thetaKalman;thetaRef;thetaAdaptKalman;vX;vXRef;vXContr;vY;vYRef;vYContr;vTheta;vThetaRef;vThetaContr;accuracyTheta;accuracyXY;arcLengthSlow;Name;FeedForwardLinearization;Name;kObsDelayedCycles;maxAcc;maxRadius;maxRotAcc;maxRotVel;maxSlowVel;maxVel;samplingTime;sObsDelayedCycles;thetaDZ;vrot_max;vtrans_max;controllerKX;controllerKY;controllerKTheta;newCamDataArrived;bumper;enableGW2Dummy;state (Controller);yBoArrivedAtDestination;enableRobot (1);i1;i2;i3;enableRobot;K[0,0]

0;2454.630859375;2936.16455078125;2452.9647328787569;2935.7602579442996;3235;2941;2454.6308590296289;2936.1645517467964;2470.5790200223428;2934.4775517855592;2452.9647328787569;3235;2454.630859375;2454.6308590296289;2470.5790200223428;2935.7602579442996;2941;2936.16455078125;2936.1645517467964;2934.4775517855592;-3.1464210594688797;-3.1408219337463379;-3.1408746887037982;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;-2;0;0;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;-8;0;2;0;4
2;2454.630859375;2936.16455078125;2452.9647328787569;2935.7602579442996;3235;2941;2454.6308590296289;2936.1645517467964;2470.5790200223428;2934.4775517855592;2452.9647328787569;3235;2454.630859375;2454.6308590296289;2470.5790200223428;2935.7602579442996;2941;2936.16455078125;2936.1645517467964;2934.4775517855592;-3.1464210594688797;-3.1408219337463379;-3.1408746887037982;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;8;0;2;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;-8;0;2;0;4
4;2454.630859375;2936.16455078125;2452.9647328787569;2935.7602579442996;3235;2941;2454.6308590296289;2936.1645517467964;2470.5790200223428;2934.4775517855592;2452.9647328787569;3235;2454.630859375;2454.6308590296289;2470.5790200223428;2935.7602579442996;2941;2936.16455078125;2936.1645517467964;2934.4775517855592;-3.1464210594688797;-3.1408219337463379;-3.1408746887037982;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;18;0;4;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;-8;0;2;0;4
6;2454.630859375;2936.16455078125;2452.9647328787569;2935.7602579442996;3235;2941;2454.6308590296289;2936.1645517467964;2470.5790200223428;2934.4775517855592;2452.9647328787569;3235;2454.630859375;2454.6308590296289;2470.5790200223428;2935.7602579442996;2941;2936.16455078125;2936.1645517467964;2934.4775517855592;-3.1464210594688797;-3.1408219337463379;-3.1408746887037982;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;28;0;6;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;-8;0;0;0;4
8;2454.630859375;2936.16455078125;2452.9647328787569;2935.7602579442996;3235;2941;2454.6308590296289;2936.1645517467964;2470.5790200223428;2934.4775517855592;2452.9647328787569;3235;2454.630859375;2454.6308590296289;2470.5790200223428;2935.7602579442996;2941;2936.16455078125;2936.1645517467964;2934.4775517855592;-3.1464210594688797;-3.1408219337463379;-3.1408746887037982;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;38;0;8;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;-8;0;-3;0;4
10;2454.630859375;2936.16455078125;2452.9647328787569;2935.7602579442996;3235;2941;2454.6308590296289;2936.1645517467964;2470.5790200223428;2934.4775517855592;2452.9647328787569;3235;2454.630859375;2454.6308590296289;2470.5790200223428;2935.7602579442996;2941;2936.16455078125;2936.1645517467964;2934.4775517855592;-3.1464210594688797;-3.1408219337463379;-3.1408746887037982;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;48;0;10;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;-1;-3;-4;0;4
12;2454.630859375;2936.16455078125;2452.9647328787569;2935.7602579442996;3235;2941;2454.6308590296289;2936.1645517467964;2470.5790200223428;2934.4775517855592;2452.9647328787569;3235;2454.630859375;2454.6308590296289;2470.5790200223428;2935.7602579442996;2941;2936.16455078125;2936.1645517467964;2934.4775517855592;-3.1464210594688797;-3.1408219337463379;-3.1408746887037982;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;58;0;12;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;-1;-3;0;0;4
14;2454.630859375;2936.16455078125;2452.9647328787569;2935.7602579442996;3235;2941;2454.6308590296289;2936.1645517467964;2470.5790200223428;2934.4775517855592;2452.9647328787569;3235;2454.630859375;2454.6308590296289;2470.5790200223428;2935.7602579442996;2941;2936.16455078125;2936.1645517467964;2934.4775517855592;-3.1464210594688797;-3.1408219337463379;-3.1408746887037982;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;68;0;14;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;-1;-3;0;0;4
16;2454.630859375;2936.16455078125;2452.9647328787569;2935.7602579442996;3235;2941;2454.6308590296289;2936.1645517467964;2470.5790200223428;2934.4775517855592;2452.9647328787569;3235;2454.630859375;2454.6308590296289;2470.5790200223428;2935.7602579442996;2941;2936.16455078125;2936.1645517467964;2934.4775517855592;-3.1464210594688797;-3.1408219337463379;-3.1408746887037982;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;78;0;16;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;-1;-3;0;0;4
18;2454.630859375;2936.16455078125;2452.9647328787569;2935.7602579442996;3235;2941;2454.6308590296289;2936.1645517467964;2470.5790200223428;2934.4775517855592;2452.9647328787569;3235;2454.630859375;2454.6308590296289;2470.5790200223428;2935.7602579442996;2941;2936.16455078125;2936.1645517467964;2934.4775517855592;-3.1464210594688797;-3.1408219337463379;-3.1408746887037982;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;88;0;18;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;-1;-3;-2;0;4
