Name;CameraNoise;
File;E:\hawino\Measurements\CameraNoise.csv;
Starttime of export;133204328342999000;Donnerstag, 9. Februar 2023;17:13:54.299
Endtime of export;133204328760099000;Donnerstag, 9. Februar 2023;17:14:36.009


Name;cam2x;Name;cam2y;Name;cam2theta;Name;cam4x;Name;cam4y;Name;cam4theta;Name;cam3x;Name;cam3y;Name;cam3theta;Name;cam2e;Name;cam3e;Name;cam4e
SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10
SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True
SymbolName;CameraNoise.cam2x;SymbolName;CameraNoise.cam2y;SymbolName;CameraNoise.cam2theta;SymbolName;CameraNoise.cam4x;SymbolName;CameraNoise.cam4y;SymbolName;CameraNoise.cam4theta;SymbolName;CameraNoise.cam3x;SymbolName;CameraNoise.cam3y;SymbolName;CameraNoise.cam3theta;SymbolName;CameraNoise.cam2e;SymbolName;CameraNoise.cam3e;SymbolName;CameraNoise.cam4e
NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1
Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851

0;6616.9931640625;0;3414.19189453125;0;-0.4774211049079895;0;4792.90869140625;0;2289.46728515625;0;1.5489909648895264;0;1885.11572265625;0;873.02783203125;0;-2.7731175422668457;0;1.5813721418380737;0;1.5118981599807739;0;1.3844035863876343
10;6616.9931640625;10;3414.19189453125;10;-0.4774211049079895;10;4792.90869140625;10;2289.46728515625;10;1.5489909648895264;10;1885.11572265625;10;873.02783203125;10;-2.7731175422668457;10;1.5813721418380737;10;1.5118981599807739;10;1.3844035863876343
20;6616.9931640625;20;3414.19189453125;20;-0.4774211049079895;20;4792.90869140625;20;2289.46728515625;20;1.5489909648895264;20;1885.11572265625;20;873.02783203125;20;-2.7731175422668457;20;1.5813721418380737;20;1.5118981599807739;20;1.3844035863876343
30;6616.9873046875;30;3414.1865234375;30;-0.4776226282119751;30;4792.939453125;30;2289.51220703125;30;1.549433708190918;30;1885.073486328125;30;873.0421142578125;30;-2.7736854553222656;30;1.4734556674957275;30;1.5588606595993042;30;1.301891565322876
