Name;YT Scope Project;
File;E:\hawino\Measurements\ParameterEstimation\param_estimation_vx_strom_rechteck_fb8_s.csv;
Starttime of export;133186228728145000;Donnerstag, 19. Januar 2023;18:27:52.814
Endtime of export;133186229851081065;Donnerstag, 19. Januar 2023;18:29:45.108


Name;x, y X;x, y Y;Name;vX;Name;vX_ref;Name;vY_ref;Name;vY;Name;vTheta_ref;Name;vTheta;Name;i1;Name;i2;Name;i3;Name;x;Name;y;Name;e;Name;theta;Name;yErr;Name;xErr;Name;thetaErr
SymbolComment;;;SymbolComment;OUTPUTS;SymbolComment;Inputs: CartesianToMotors + Bumper;SymbolComment;;SymbolComment;;SymbolComment;;SymbolComment;;SymbolComment;;SymbolComment;;SymbolComment;;SymbolComment;;SymbolComment;;SymbolComment;;SymbolComment;;SymbolComment;;SymbolComment;;SymbolComment;
Data-Type;REAL64;REAL64;Data-Type;REAL64;Data-Type;REAL64;Data-Type;REAL64;Data-Type;REAL64;Data-Type;REAL64;Data-Type;REAL64;Data-Type;INT16;Data-Type;INT16;Data-Type;INT16;Data-Type;REAL64;Data-Type;REAL64;Data-Type;REAL64;Data-Type;REAL64;Data-Type;REAL32;Data-Type;REAL32;Data-Type;REAL32
SampleTime[ms];10;10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10
VariableSize;8;8;VariableSize;8;VariableSize;8;VariableSize;8;VariableSize;8;VariableSize;8;VariableSize;8;VariableSize;2;VariableSize;2;VariableSize;2;VariableSize;8;VariableSize;8;VariableSize;8;VariableSize;8;VariableSize;4;VariableSize;4;VariableSize;4
SymbolBased;True;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True
IndexGroup;16448;16448;IndexGroup;61488;IndexGroup;61472;IndexGroup;61488;IndexGroup;61472;IndexGroup;61488;IndexGroup;61472;IndexGroup;61488;IndexGroup;61488;IndexGroup;61488;IndexGroup;16448;IndexGroup;16448;IndexGroup;16448;IndexGroup;16448;IndexGroup;61488;IndexGroup;61488;IndexGroup;61488
IndexOffset;425152;425160;IndexOffset;424888;IndexOffset;424752;IndexOffset;424896;IndexOffset;424760;IndexOffset;424904;IndexOffset;424768;IndexOffset;426160;IndexOffset;426162;IndexOffset;426164;IndexOffset;425152;IndexOffset;425160;IndexOffset;425176;IndexOffset;425168;IndexOffset;426172;IndexOffset;426168;IndexOffset;426176
SymbolName;Camera.cameraData.robotPosition[2].x;Camera.cameraData.robotPosition[2].y;SymbolName;WheelEncoders.vXCartesianFromMotors;SymbolName;MotorDrivers.vXCartesianToMotors;SymbolName;WheelEncoders.vYCartesianFromMotors;SymbolName;MotorDrivers.vYCartesianToMotors;SymbolName;WheelEncoders.vthetaCartesianFromMotors;SymbolName;MotorDrivers.vThetaCartesianToMotors;SymbolName;ParameterEstimation.i1;SymbolName;ParameterEstimation.i2;SymbolName;ParameterEstimation.i3;SymbolName;Camera.cameraData.robotPosition[2].x;SymbolName;Camera.cameraData.robotPosition[2].y;SymbolName;Camera.cameraData.robotPosition[2].e;SymbolName;Camera.cameraData.robotPosition[2].theta;SymbolName;ParameterEstimation.yErr;SymbolName;ParameterEstimation.xErr;SymbolName;ParameterEstimation.thetaErr
NetID;5.53.207.184.1.1;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1
Port;851;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851
