Name;YT Scope Project;
File;E:\hawino\Measurements\ParameterEstimation\parameter_in_theta_strom_fb8.csv;
Starttime of export;133186168345509000;Donnerstag, 19. Januar 2023;16:47:14.550
Endtime of export;133186169063277851;Donnerstag, 19. Januar 2023;16:48:26.327


Name;x, y X;x, y Y;Name;vX;Name;vX_ref;Name;vY_ref;Name;vY;Name;vTheta_ref;Name;vTheta;Name;i1;Name;x;Name;y;Name;e;Name;theta
SymbolComment;;;SymbolComment;OUTPUTS;SymbolComment;Inputs: CartesianToMotors + Bumper;SymbolComment;;SymbolComment;;SymbolComment;;SymbolComment;;SymbolComment;;SymbolComment;;SymbolComment;;SymbolComment;;SymbolComment;
Data-Type;REAL64;REAL64;Data-Type;REAL64;Data-Type;REAL64;Data-Type;REAL64;Data-Type;REAL64;Data-Type;REAL64;Data-Type;REAL64;Data-Type;INT16;Data-Type;REAL64;Data-Type;REAL64;Data-Type;REAL64;Data-Type;REAL64
SampleTime[ms];10;10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10
VariableSize;8;8;VariableSize;8;VariableSize;8;VariableSize;8;VariableSize;8;VariableSize;8;VariableSize;8;VariableSize;2;VariableSize;8;VariableSize;8;VariableSize;8;VariableSize;8
SymbolBased;True;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True
IndexGroup;16448;16448;IndexGroup;61488;IndexGroup;61472;IndexGroup;61488;IndexGroup;61472;IndexGroup;61488;IndexGroup;61472;IndexGroup;61488;IndexGroup;16448;IndexGroup;16448;IndexGroup;16448;IndexGroup;16448
IndexOffset;425152;425160;IndexOffset;424888;IndexOffset;424752;IndexOffset;424896;IndexOffset;424760;IndexOffset;424904;IndexOffset;424768;IndexOffset;426030;IndexOffset;425152;IndexOffset;425160;IndexOffset;425176;IndexOffset;425168
SymbolName;Camera.cameraData.robotPosition[2].x;Camera.cameraData.robotPosition[2].y;SymbolName;WheelEncoders.vXCartesianFromMotors;SymbolName;MotorDrivers.vXCartesianToMotors;SymbolName;WheelEncoders.vYCartesianFromMotors;SymbolName;MotorDrivers.vYCartesianToMotors;SymbolName;WheelEncoders.vthetaCartesianFromMotors;SymbolName;MotorDrivers.vThetaCartesianToMotors;SymbolName;ParameterEstimation.i1;SymbolName;Camera.cameraData.robotPosition[2].x;SymbolName;Camera.cameraData.robotPosition[2].y;SymbolName;Camera.cameraData.robotPosition[2].e;SymbolName;Camera.cameraData.robotPosition[2].theta
NetID;5.53.207.184.1.1;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1
Port;851;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851
Offset;0;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0
ScaleFactor;1;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1
BitMask;0xffffffffffffffff;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff
Unit;(None);(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None)
Unit ScaleFactor;1;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1
Unit Offset;0;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0

0;4715.9677734375;1618.246826171875;0;0;0;0;0;0;0;0;0;0;0;0;0;-10;0;4715.9677734375;0;1618.246826171875;0;4.691650390625;0;-2.7085449695587158
10;4715.9677734375;1618.246826171875;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;4715.9677734375;10;1618.246826171875;10;4.691650390625;10;-2.7085449695587158
20;4715.9677734375;1618.246826171875;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;4715.9677734375;20;1618.246826171875;20;4.691650390625;20;-2.7085449695587158
