Name;YT Scope Project;
File;E:\hawino\Measurements\ParameterEstimation\parameter_in_x.csv;
Starttime of export;133161882603685000;Donnerstag, 22. Dezember 2022;14:11:00.368
Endtime of export;133161883686085000;Donnerstag, 22. Dezember 2022;14:12:48.608


Name;vtheta;vtheta_ref;vx;vx_ref;vy;vy_ref

0;0;0;0;0;0;0
10;0;0;0;0;0;0
20;0;0;0;0;0;0
30;0;0;0;0;0;0
40;0;0;0;0;0;0
50;0;0;0;0;0;0
60;0;0;0;0;0;0
70;0;0;0;0;0;0
80;0;0;0;0;0;0
90;0;0;0;0;0;0
100;0;0;0;0;0;0
110;0;0;0;0;0;0
120;0;0;0;0;0;0
130;0;0;0;0;0;0
140;0;0;0;0;0;0
150;0;0;0;0;0;0
160;0;0;0;0;0;0
170;0;0;0;0;0;0
180;0;0;0;0;0;0
190;0;0;0;0;0;0
200;0;0;0;0;0;0
210;0;0;0;0;0;0
220;0;0;0;0;0;0
230;0;0;0;0;0;0
240;0;0;0;0;0;0
250;0;0;0;0;0;0
260;0;0;0;0;0;0
270;0;0;0;0;0;0
280;0;0;0;0;0;0
290;0;0;0;0;0;0
300;0;0;0;0;0;0
310;0;0;0;0;0;0
320;0;0;0;0;0;0
330;0;0;0;0;0;0
340;0;0;0;0;0;0
350;0;0;0;0;0;0
360;0;0;0;0;0;0
370;0;0;0;0;0;0
380;0;0;0;0;0;0
390;0;0;0;0;0;0
400;0;0;0;0;0;0
410;0;0;0;0;0;0
420;0;0;0;0;0;0
430;0;0;0;0;0;0
440;0;0;0;0;0;0
450;0;0;0;0;0;0
460;0;0;0;0;0;0
470;0;0;0;0;0;0
480;0;0;0;0;0;0
490;0;0;0;0;0;0
500;0;0;0;0;0;0
510;0;0;0;0;0;0
520;0;0;0;0;0;0
530;0;0;0;0;0;0
540;0;0;0;0;0;0
550;0;0;0;0;0;0
560;0;0;0;0;0;0
570;0;0;0;0;0;0
580;0;0;0;0;0;0
590;0;0;0;0;0;0
600;0;0;0;0;0;0
610;0;0;0;0;0;0
620;0;0;0;0;0;0
630;0;0;0;0;0;0
640;0;0;0;0;0;0
650;0;0;0;0;0;0
660;0;0;0;0;0;0
670;0;0;0;0;0;0
680;0;0;0;0;0;0
690;0;0;0;0;0;0
700;0;0;0;0;0;0
710;0;0;0;0;0;0
720;0;0;0;0;0;0
730;0;0;0;0;0;0
740;0;0;0;0;0;0
750;0;0;0;0;0;0
760;0;0;0;0;0;0
770;0;0;0;0;0;0
780;0;0;0;0;0;0
790;0;0;0;0;0;0
800;0;0;0;0;0;0
810;0;0;0;0;0;0
820;0;0;0;0;0;0
830;0;0;0;0;0;0
840;0;0;0;0;0;0
850;0;0;0;0;0;0
860;0;0;0;0;0;0
870;0;0;0;0;0;0
880;0;0;0;0;0;0
890;0;0;0;0;0;0
900;0;0;0;0;0;0
910;0;0;0;0;0;0
920;0;0;0;0;0;0
930;0;0;0;0;0;0
940;0;0;0;0;0;0
950;0;0;0;0;0;0
960;0;0;0;0;0;0
970;0;0;0;0;0;0
980;0;0;0;0;0;0
990;0;0;0;0;0;0
1000;0;0;0;0;0;0
1010;0;0;0;0;0;0
1020;0;0;0;0;0;0
1030;0;0;0;0;0;0
1040;0;0;0;0;0;0
1050;0;0;0;0;0;0
1060;0;0;0;0;0;0
1070;0;0;0;0;0;0
1080;0;0;0;0;0;0
1090;0;0;0;0;0;0
1100;0;0;0;0;0;0
1110;0;0;0;0;0;0
1120;0;0;0;0;0;0
1130;0;0;0;0;0;0
1140;0;0;0;0;0;0
1150;0;0;0;0;0;0
1160;0;0;0;0;0;0
1170;0;0;0;0;0;0
1180;0;0;0;0;0;0
1190;0;0;0;0;0;0
1200;0;0;0;0;0;0
1210;0;0;0;0;0;0
1220;0;0;0;0;0;0
1230;0;0;0;0;0;0
1240;0;0;0;0;0;0
1250;0;0;0;0;0;0
1260;0;0;0;0;0;0
1270;0;0;0;0;0;0
1280;0;0;0;0;0;0
1290;0;0;0;0;0;0
1300;0;0;0;0;0;0
1310;0;0;0;0;0;0
1320;0;0;0;0;0;0
1330;0;0;0;0;0;0
1340;0;0;0;0;0;0
1350;0;0;0;0;0;0
1360;0;0;0;0;0;0
1370;0;0;0;0;0;0
1380;0;0;0;0;0;0
1390;0;0;0;0;0;0
1400;0;0;0;0;0;0
1410;0;0;0;0;0;0
1420;0;0;0;0;0;0
1430;0;0;0;0;0;0
1440;0;0;0;0;0;0
1450;0;0;0;0;0;0
1460;0;0;0;0;0;0
1470;0;0;0;0;0;0
1480;0;0;0;0;0;0
1490;0;0;0;0;0;0
1500;0;0;0;0;0;0
1510;0;0;0;0;0;0
1520;0;0;0;0;0;0
1530;0;0;0;0;0;0
1540;0;0;0;0;0;0
1550;0;0;0;0;0;0
1560;0;0;0;0;0;0
1570;0;0;0;0;0;0
1580;0;0;0;0;0;0
1590;0;0;0;0;0;0
1600;0;0;0;0;0;0
1610;0;0;0;0;0;0
1620;0;0;0;0;0;0
1630;0;0;0;0;0;0
1640;0;0;0;0;0;0
1650;0;0;0;0;0;0
1660;0;0;0;0;0;0
1670;0;0;0;0;0;0
1680;0;0;0;0;0;0
1690;0;0;0;0;0;0
1700;0;0;0;0;0;0
1710;0;0;0;0;0;0
1720;0;0;0;0;0;0
1730;0;0;0;0;0;0
1740;0;0;0;0;0;0
1750;0;0;0;0;0;0
1760;0;0;0;0;0;0
1770;0;0;0;0;0;0
1780;0;0;0;0;0;0
1790;0;0;0;0;0;0
1800;0;0;0;0;0;0
1810;0;0;0;0;0;0
1820;0;0;0;0;0;0
1830;0;0;0;0;0;0
1840;0;0;0;0;0;0
1850;0;0;0;0;0;0
1860;0;0;0;0;0;0
1870;0;0;0;0;0;0
1880;0;0;0;0;0;0
1890;0;0;0;0;0;0
1900;0;0;0;0;0;0
1910;0;0;0;0;0;0
1920;0;0;0;0;0;0
1930;0;0;0;0;0;0
