Name;YT Scope Project;
File;E:\hawino\Measurements\ParameterEstimation\parameter_in_x_fb8.csv;
Starttime of export;133161971538526000;Donnerstag, 22. Dezember 2022;16:39:13.852
Endtime of export;133161972024408172;Donnerstag, 22. Dezember 2022;16:40:02.440


Name;vtheta;vtheta_ref;vx;vx_ref;vy;vy_ref

0;0;0;0;0;0;0
10;0;0;0;0;0;0
20;0;0;0;0;0;0
30;0;0;0;0;0;0
40;0;0;0;0;0;0
50;0;0;0;0;0;0
60;0;0;0;0;0;0
70;0;0;0;0;0;0
80;0;0;0;0;0;0
90;0;0;0;0;0;0
100;0;0;0;0;0;0
110;0;0;0;0;0;0
120;0;0;0;0;0;0
130;0;0;0;0;0;0
140;0;0;0;0;0;0
150;0;0;0;0;0;0
160;0;0;0;0;0;0
170;0;0;0;0;0;0
180;0;0;0;0;0;0
190;0;0;0;0;0;0
200;0;0;0;0;0;0
210;0;0;0;0;0;0
220;0;0;0;0;0;0
230;0;0;0;0;0;0
240;0;0;0;0;0;0
250;0;0;0;0;0;0
260;0;0;0;0;0;0
270;0;0;0;0;0;0
280;0;0;0;0;0;0
290;0;0;0;0;0;0
300;0;0;0;0;0;0
310;0;0;0;0;0;0
320;0;0;0;0;0;0
330;0;0;0;0;0;0
340;0;0;0;0;0;0
350;0;0;0;0;0;0
360;0;0;0;0;0;0
370;0;0;0;0;0;0
380;0;0;0;0;0;0
390;0;0;0;0;0;0
400;0;0;0;0;0;0
410;0;0;0;0;0;0
420;0;0;0;0;0;0
430;0;0;0;0;0;0
440;0;0;0;0;0;0
450;0;0;0;0;0;0
460;0;0;0;0;0;0
470;0;0;0;0;0;0
480;0;0;0;0;0;0
490;0;0;0;0;0;0
500;0;0;0;0;0;0
510;0;0;0;0;0;0
520;0;0;0;0;0;0
530;0;0;0;0;0;0
540;0;0;0;0;0;0
550;0;0;0;0;0;0
560;0;0;0;0;0;0
570;0;0;0;0;0;0
580;0;0;0;0;0;0
590;0;0;0;0;0;0
600;0;0;0;0;0;0
610;0;0;0;0;0;0
620;0;0;0;0;0;0
630;0;0;0;0;0;0
640;0;0;0;0;0;0
650;0;0;0;0;0;0
660;0;0;0;0;0;0
670;0;0;0;0;0;0
680;0;0;0;0;0;0
690;0;0;0;0;0;0
700;0;0;0;0;0;0
710;0;0;0;0;0;0
720;0;0;0;0;0;0
730;0;0;0;0;0;0
740;0;0;0;0;0;0
750;0;0;0;0;0;0
760;0;0;0;0;0;0
770;0;0;0;0;0;0
780;0;0;0;0;0;0
790;0;0;0;0;0;0
800;0;0;0;0;0;0
810;0;0;0;0;0;0
820;0;0;0;0;0;0
830;0;0;0;0;0;0
840;0;0;0;0;0;0
850;0;0;0;0;0;0
860;0;0;0;0;0;0
870;0;0;0;0;0;0
880;0;0;0;0;0;0
890;0;0;0;0;0;0
900;0;0;0;0;0;0
910;0;0;0;0;0;0
920;0;0;0;0;0;0
930;0;0;0;0;0;0
940;0;0;0;0;0;0
950;0;0;0;0;0;0
960;0;0;0;0;0;0
970;0;0;0;0;0;0
980;0;0;0;0;0;0
990;0;0;0;0;0;0
1000;0;0;0;0;0;0
1010;0;0;0;0;0;0
1020;0;0;0;0;0;0
1030;0;0;0;0;0;0
1040;0;0;0;0;0;0
1050;0;0;0;0;0;0
1060;0;0;0;0;0;0
1070;0;0;0;0;0;0
1080;0;0;0;0;0;0
1090;0;0;0;0;0;0
1100;0;0;0;0;0;0
1110;0;0;0;500;0;0
1120;0;0;0;500;0;0
1130;0;0;0;500;0;0
1140;-0.011633333333333336;0;169.55824778155144;500;-1.5705000000000002;0
1150;-0.042655555555555544;0;294.68679427274986;500;-5.758499999999998;0
1160;-0.052349999999999973;0;151.87704012518645;500;-7.0672499999999969;0
1170;-0.1745;0;168.65151918378913;500;-23.5575;0
1180;-0.058166666666666679;0;179.0788980580557;500;-8.6377500000000023;0
1190;0.034900000000000007;0;152.33040442406761;500;4.7115000000000009;0
1200;-0.023266666666666672;0;131.47564667553453;500;-3.1410000000000005;0
1210;-0.091127777777777752;0;128.75546088224763;500;-11.517000000000001;0
1220;-0.034899999999999973;0;150.516947228543;500;-4.7114999999999965;0
1230;-0.025205555555555571;0;148.7034900330184;500;-4.1880000000000024;0
1240;-0.09500555555555551;0;144.16984704420685;500;-12.040499999999994;0
1250;-0.18031666666666663;0;140.99629695203876;500;-19.631249999999994;0
1260;-0.11827222222222222;0;174.54525506924412;500;-6.5437499999999984;0
1270;-0.17256111111111117;0;178.17216946029336;500;-17.013750000000005;0
1280;-0.12215000000000002;0;190.86636982896565;500;-14.919750000000002;0
1290;-0.11245555555555556;0;199.93365580658875;500;-4.9732499999999975;0
1300;-0.10663888888888888;0;210.36103468085526;500;0.52349999999999375;0
1310;-0.12021111111111116;0;220.78841355512179;500;0.26174999999999687;0
1320;-0.083372222222222292;0;237.10952831484332;500;-0.26175000000000637;0
1330;-0.13960000000000003;0;252.52391447680253;500;-10.208250000000001;0
1340;-0.10082222222222222;0;277.0055866163849;500;-9.6847500000000082;0
1350;-0.09888333333333342;0;291.05987988170062;500;-12.564000000000013;0
1360;-0.10663888888888895;0;302.39398735372947;500;-14.396250000000009;0
1370;-0.16674444444444442;0;320.98192360785674;500;-24.081;0
1380;-0.15705000000000002;0;314.18145912463939;500;-25.913250000000005;0
1390;-0.093066666666666686;0;337.75640266645945;500;-19.631250000000005;0
1400;0.0096944444444444;0;374.93227517471405;500;-3.4027500000000068;0
1410;0.063983333333333212;0;378.10582526688211;500;9.4229999999999823;0
1420;0.062044444444444548;0;385.81301834786171;500;7.5907500000000141;0
1430;0.071738888888888949;0;407.121140395276;500;7.3290000000000077;0
1440;0.17256111111111111;0;431.60281253485823;500;20.939999999999998;0
1450;0.368388888888889;0;450.1907487889855;500;48.947250000000018;0
1460;0.51574444444444445;0;461.52485626101435;500;77.478000000000009;0
