Name;YT Scope Project;
File;E:\hawino\Measurements\ParameterEstimation\parameter_in_y_fb8.csv;
Starttime of export;133161975881726000;Donnerstag, 22. Dezember 2022;16:46:28.172
Endtime of export;133161976284495671;Donnerstag, 22. Dezember 2022;16:47:08.449


Name;vtheta;vtheta_ref;vx;vx_ref;vy;vy_ref

0;0;0;0;0;0;0
10;0;0;0;0;0;0
20;0;0;0;0;0;0
30;0;0;0;0;0;0
40;0;0;0;0;0;0
50;0;0;0;0;0;0
60;0;0;0;0;0;0
70;0;0;0;0;0;0
80;0;0;0;0;0;0
90;0;0;0;0;0;0
100;0;0;0;0;0;0
110;0;0;0;0;0;0
120;0;0;0;0;0;0
130;0;0;0;0;0;0
140;0;0;0;0;0;0
150;0;0;0;0;0;0
160;0;0;0;0;0;0
170;0;0;0;0;0;0
180;0;0;0;0;0;0
190;0;0;0;0;0;0
200;0;0;0;0;0;0
210;0;0;0;0;0;0
220;0;0;0;0;0;0
230;0;0;0;0;0;0
240;0;0;0;0;0;0
250;0;0;0;0;0;0
260;0;0;0;0;0;0
270;0;0;0;0;0;0
280;0;0;0;0;0;0
290;0;0;0;0;0;0
300;0;0;0;0;0;0
310;0;0;0;0;0;0
320;0;0;0;0;0;0
330;0;0;0;0;0;0
340;0;0;0;0;0;0
350;0;0;0;0;0;0
360;0;0;0;0;0;0
370;0;0;0;0;0;0
380;0;0;0;0;0;0
390;0;0;0;0;0;0
400;0;0;0;0;0;0
410;0;0;0;0;0;0
420;0;0;0;0;0;0
430;0;0;0;0;0;0
440;0;0;0;0;0;0
450;0;0;0;0;0;0
460;0;0;0;0;0;0
470;0;0;0;0;0;0
480;0;0;0;0;0;0
490;0;0;0;0;0;0
500;0;0;0;0;0;0
510;0;0;0;0;0;0
520;0;0;0;0;0;0
530;0;0;0;0;0;0
540;0;0;0;0;0;0
550;0;0;0;0;0;0
560;0;0;0;0;0;0
570;0;0;0;0;0;0
580;0;0;0;0;0;0
590;0;0;0;0;0;0
600;0;0;0;0;0;0
610;0;0;0;0;0;0
620;-0.0019388888888888889;0;0.45336429888115359;0;-0.26175;0
630;0;0;0;0;0;0
640;0;0;0;0;0;0
650;0;0;0;0;0;0
660;0.0019388888888888889;0;-0.45336429888115359;0;0.26175;0
670;0;0;0;0;0;0
680;0;0;0;0;0;0
690;0;0;0;0;0;0
700;0;0;0;0;0;0
710;0;0;0;0;0;0
720;0;0;0;0;0;0
730;0;0;0;0;0;100
740;0;0;0;0;0;100
750;0;0;0;0;0;100
760;-0.01551111111111112;0;2.7201857932869222;0;41.88;100
770;0.15511111111111112;0;0.45336429888115232;0;57.846750000000007;100
780;0.17837777777777777;0;-13.600928966434607;0;20.939999999999998;100
790;0.0058166666666666679;0;-5.8937358854549968;0;54.182249999999989;100
800;0.16286666666666666;0;0.90672859776230874;0;28.269000000000002;100
810;0.13378333333333334;0;-14.054293265315764;0;19.631249999999998;100
820;-0.12408888888888887;0;-16.774479058602687;0;60.987750000000005;100
830;0.12796666666666667;0;-1.8134571955246135;0;47.115000000000009;100
840;0.29277222222222221;0;15.867750460840373;0;33.24225;100
850;0.038777777777777772;0;-8.6139216787419191;0;64.128750000000011;100
860;0.15123333333333333;0;-9.0672859776230759;0;42.4035;100
870;0.32961111111111113;0;2.2668214944057659;0;42.141749999999995;100
880;0.11827222222222224;0;-3.1735500921680746;0;81.92775;100
890;0.1977666666666667;0;-9.5206502765042273;0;47.90025;100
900;0.28889444444444445;0;4.9870072876926841;0;48.423750000000005;100
910;0.14541666666666667;0;4.5336429888115317;0;92.6595;100
920;0.21521666666666667;0;-7.2538287820984575;0;50.256;100
930;0.22491111111111112;0;1.8134571955246135;0;50.779500000000006;100
940;0.10470000000000002;0;14.507657564196915;0;106.794;100
950;0.20358333333333334;0;4.0802786899303829;0;71.45775;100
960;0.22684999999999997;0;-7.7071930809796143;0;54.18225;100
970;0.048472222222222229;0;2.26682149440577;0;102.34424999999999;100
980;0.1764388888888889;0;9.06728597762307;0;82.713000000000008;100
990;0.26950555555555555;0;7.70719308097961;0;64.65225;100
1000;0.017450000000000021;0;3.626914391049231;0;106.794;100
1010;0.046533333333333322;0;-5.8937358854549968;0;84.02175;100
1020;0.26368888888888892;0;-9.06728597762307;0;74.8605;100
1030;0.081433333333333344;0;10.880743173147689;0;125.63999999999999;100
1040;0.021327777777777789;0;9.97401457538538;0;102.606;100
1050;0.11439444444444448;0;-14.961021863078072;0;73.551750000000013;100
1060;0.038777777777777758;0;-2.7201857932869182;0;119.8815;100
1070;-3.50885301609926E-17;0;16.77447905860268;0;110.72025000000001;100
1080;0.062044444444444465;0;3.1735500921680746;0;92.397750000000016;100
1090;-0.027144444444444419;0;-10.880743173147693;0;118.83449999999999;100
1100;-0.07173888888888888;0;1.3600928966434611;0;104.96175;100
1110;0.019388888888888886;0;3.626914391049231;0;101.55900000000001;100
1120;-0.021327777777777772;0;4.53364298881154;0;136.11;100
1130;-0.0717388888888889;0;7.7071930809796143;0;123.80775;100
1140;-0.10470000000000002;0;-6.3471001843361528;0;106.79399999999998;100
1150;-0.12408888888888889;0;-9.5206502765042273;0;126.94875000000002;100
1160;-0.096944444444444416;0;12.694200368672302;0;137.68050000000002;100
1170;-0.062044444444444409;0;11.33410747202884;0;135.32475;100
1180;-0.1958277777777778;0;-15.867750460840377;0;125.90174999999999;100
1190;-0.18613333333333337;0;-14.054293265315762;0;127.99575;100
1200;-0.087250000000000022;0;7.7071930809796143;0;138.98925;100
1210;-0.14929444444444445;0;-3.626914391049227;0;140.8215;100
1220;-0.21327777777777776;0;-11.787471770909995;0;131.3985;100
1230;-0.14929444444444445;0;-1.8134571955246135;0;147.10350000000003;100
1240;-0.13184444444444449;0;-4.9870072876926921;0;146.31825;100
1250;-0.1396;0;-7.70719308097961;0;124.85475000000001;100
1260;-0.08531111111111106;0;2.2668214944057659;0;121.19024999999999;100
