Name;SimplePoseEst;
File;E:\TestfahrtDraftSimpleEstimator\Fahrt_1_Aufgebockt_v500.csv;
Starttime of export;133209504791325000;Mittwoch, 15. Februar 2023;17:01:19.132
Endtime of export;133209505473525000;Mittwoch, 15. Februar 2023;17:02:27.352


Name;TcModuleInput_InVYfromMotors;Name;TcModuleInput_InVXfromMotors;Name;TcModuleInput_InVThetafromMotors;Name;TcModuleInput_InCameraPose[3];Name;TcModuleInput_InCameraPose[2];Name;TcModuleInput_InCameraPose[1];Name;TcModuleInput_InCameraPose[0];Name;TcModuleOutput_OutEstY;Name;TcModuleOutput_OutEstX;Name;TcModuleOutput_OutEstTheta;Name;TcModuleOutput_OutDebugCase
SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10
SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True
SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InVYfromMotors;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InVXfromMotors;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InVThetafromMotors;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InCameraPose[3];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InCameraPose[2];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InCameraPose[1];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InCameraPose[0];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutEstY;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutEstX;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutEstTheta;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutDebugCase
NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1
Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350

0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;2
20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;2
30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;2
40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;2
50;0;50;0;50;0;50;0;50;0;50;0;50;0;50;0;50;0;50;0;50;2
60;0;60;0;60;0;60;0;60;0;60;0;60;0;60;0;60;0;60;0;60;2
70;0;70;0;70;0;70;0;70;0;70;0;70;0;70;0;70;0;70;0;70;2
80;0;80;0;80;0;80;0;80;0;80;0;80;0;80;0;80;0;80;0;80;2
90;0;90;0;90;0;90;0;90;0;90;0;90;0;90;0;90;0;90;0;90;2
100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;2
110;0;110;0;110;0;110;0;110;0;110;0;110;0;110;0;110;0;110;0;110;2
120;0;120;0;120;0;120;0;120;0;120;0;120;0;120;0;120;0;120;0;120;2
130;0;130;0;130;0;130;0;130;0;130;0;130;0;130;0;130;0;130;0;130;2
140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;0;140;2
150;0;150;0;150;0;150;0;150;0;150;0;150;0;150;0;150;0;150;0;150;2
160;0;160;0;160;0;160;0;160;0;160;0;160;0;160;0;160;0;160;0;160;2
170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;2
180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;2
190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;2
200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;2
210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;2
220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;2
230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;2
240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;2
250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;2
260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;2
270;0;270;0;270;0;270;0;270;0;270;0;270;0;270;0;270;0;270;0;270;2
280;0;280;0;280;0;280;0;280;0;280;0;280;0;280;0;280;0;280;0;280;2
290;0;290;0;290;0;290;0;290;0;290;0;290;0;290;0;290;0;290;0;290;2
300;0;300;0;300;0;300;0;300;0;300;0;300;0;300;0;300;0;300;0;300;2
310;0;310;0;310;0;310;0;310;0;310;0;310;0;310;0;310;0;310;0;310;2
320;0;320;0;320;0;320;0;320;0;320;0;320;0;320;0;320;0;320;0;320;2
330;0;330;0;330;0;330;0;330;0;330;0;330;0;330;0;330;0;330;0;330;2
340;0;340;0;340;0;340;0;340;0;340;0;340;0;340;0;340;0;340;0;340;2
350;0;350;0;350;0;350;0;350;0;350;0;350;0;350;0;350;0;350;0;350;2
360;0;360;0;360;0;360;0;360;0;360;0;360;0;360;0;360;0;360;0;360;2
370;0;370;0;370;0;370;0;370;0;370;0;370;0;370;0;370;0;370;0;370;2
380;0;380;0;380;0;380;0;380;0;380;0;380;0;380;0;380;0;380;0;380;2
390;0;390;0;390;0;390;0;390;0;390;0;390;0;390;0;390;0;390;0;390;2
400;0;400;0;400;0;400;0;400;0;400;0;400;0;400;0;400;0;400;0;400;2
410;0;410;0;410;0;410;0;410;0;410;0;410;0;410;0;410;0;410;0;410;2
420;0;420;0;420;0;420;0;420;0;420;0;420;0;420;0;420;0;420;0;420;2
430;0;430;0;430;0;430;0;430;0;430;0;430;0;430;0;430;0;430;0;430;2
440;0;440;0;440;0;440;0;440;0;440;0;440;0;440;0;440;0;440;0;440;2
450;0;450;0;450;0;450;0;450;0;450;0;450;0;450;0;450;0;450;0;450;2
460;0;460;0;460;0;460;0;460;0;460;0;460;0;460;0;460;0;460;0;460;2
470;0;470;0;470;0;470;0;470;0;470;0;470;0;470;0;470;0;470;0;470;2
480;0;480;0;480;0;480;0;480;0;480;0;480;0;480;0;480;0;480;0;480;2
490;0;490;0;490;0;490;0;490;0;490;0;490;0;490;0;490;0;490;0;490;2
500;0;500;0;500;0;500;0;500;0;500;0;500;0;500;0;500;0;500;0;500;2
510;0;510;0;510;0;510;0;510;0;510;0;510;0;510;0;510;0;510;0;510;2
520;0;520;0;520;0;520;0;520;0;520;0;520;0;520;0;520;0;520;0;520;2
530;0;530;0;530;0;530;0;530;0;530;0;530;0;530;0;530;0;530;0;530;2
540;0;540;0;540;0;540;0;540;0;540;0;540;0;540;0;540;0;540;0;540;2
550;0;550;0;550;0;550;0;550;0;550;0;550;0;550;0;550;0;550;0;550;2
560;0;560;0;560;0;560;0;560;0;560;0;560;0;560;0;560;0;560;0;560;2
570;0;570;0;570;0;570;0;570;0;570;0;570;0;570;0;570;0;570;0;570;2
580;0;580;0;580;0;580;0;580;0;580;0;580;0;580;0;580;0;580;0;580;2
590;0;590;0;590;0;590;0;590;0;590;0;590;0;590;0;590;0;590;0;590;2
600;0;600;0;600;0;600;0;600;0;600;0;600;0;600;0;600;0;600;0;600;2
610;0;610;0;610;0;610;0;610;0;610;0;610;0;610;0;610;0;610;0;610;2
620;0;620;0;620;0;620;0;620;0;620;0;620;0;620;0;620;0;620;0;620;2
630;0;630;0;630;0;630;0;630;0;630;0;630;0;630;0;630;0;630;0;630;2
640;0;640;0;640;0;640;0;640;0;640;0;640;0;640;0;640;0;640;0;640;2
650;0;650;0;650;0;650;0;650;0;650;0;650;0;650;0;650;0;650;0;650;2
660;0;660;0;660;0;660;0;660;0;660;0;660;0;660;0;660;0;660;0;660;2
670;0;670;0;670;0;670;0;670;0;670;0;670;0;670;0;670;0;670;0;670;2
680;0;680;0;680;0;680;0;680;0;680;0;680;0;680;0;680;0;680;0;680;2
690;0;690;0;690;0;690;0;690;0;690;0;690;0;690;0;690;0;690;0;690;2
700;0;700;0;700;0;700;0;700;0;700;0;700;0;700;0;700;0;700;0;700;2
710;0;710;0;710;0;710;0;710;0;710;0;710;0;710;0;710;0;710;0;710;2
720;0;720;0;720;0;720;0;720;0;720;0;720;0;720;0;720;0;720;0;720;2
730;0;730;0;730;0;730;0;730;0;730;0;730;0;730;0;730;0;730;0;730;2
740;0;740;0;740;0;740;0;740;0;740;0;740;0;740;0;740;0;740;0;740;2
750;0;750;0;750;0;750;0;750;0;750;0;750;0;750;0;750;0;750;0;750;2
760;0;760;0;760;0;760;0;760;0;760;0;760;0;760;0;760;0;760;0;760;2
770;0;770;0;770;0;770;0;770;0;770;0;770;0;770;0;770;0;770;0;770;2
780;0;780;0;780;0;780;0;780;0;780;0;780;0;780;0;780;0;780;0;780;2
790;0;790;0;790;0;790;0;790;0;790;0;790;0;790;0;790;0;790;0;790;2
800;0;800;0;800;0;800;0;800;0;800;0;800;0;800;0;800;0;800;0;800;2
810;0;810;0;810;0;810;0;810;0;810;0;810;0;810;0;810;0;810;0;810;2
820;0;820;0;820;0;820;0;820;0;820;0;820;0;820;0;820;0;820;0;820;2
830;0;830;0;830;0;830;0;830;0;830;0;830;0;830;0;830;0;830;0;830;2
840;0;840;0;840;0;840;0;840;0;840;0;840;0;840;0;840;0;840;0;840;2
850;0;850;0;850;0;850;0;850;0;850;0;850;0;850;0;850;0;850;0;850;2
860;0;860;0;860;0;860;0;860;0;860;0;860;0;860;0;860;0;860;0;860;2
870;0;870;0;870;0;870;0;870;0;870;0;870;0;870;0;870;0;870;0;870;2
880;0;880;0;880;0;880;0;880;0;880;0;880;0;880;0;880;0;880;0;880;2
890;0;890;0;890;0;890;0;890;0;890;0;890;0;890;0;890;0;890;0;890;2
900;0;900;0;900;0;900;0;900;0;900;0;900;0;900;0;900;0;900;0;900;2
910;0;910;0;910;0;910;0;910;0;910;0;910;0;910;0;910;0;910;0;910;2
920;0;920;0;920;0;920;0;920;0;920;0;920;0;920;0;920;0;920;0;920;2
930;6451.9231859159991;930;-27512.5376858756;930;-18.169150198622223;930;0;930;0;930;0;930;0;930;0;930;0;930;0;930;2
940;0;940;0;940;0;940;0;940;0;940;0;940;0;940;0;940;0;940;0;940;2
950;0;950;0;950;0;950;0;950;0;950;0;950;0;950;-122.93176922841732;950;-254.44937489752195;950;-0.18169150198622222;950;2
960;0;960;0;960;0;960;0;960;0;960;0;960;0;960;-122.93176922841732;960;-254.44937489752195;960;-0.18169150198622222;960;2
970;0;970;0;970;0;970;0;970;0;970;0;970;0;970;-122.93176922841732;970;-254.44937489752195;970;-0.18169150198622222;970;2
980;0;980;0;980;0;980;0.88828825950622559;980;-0.055516287684440613;980;1617.9278564453125;980;3776.10107421875;980;-122.93176922841732;980;-254.44937489752195;980;-0.18169150198622222;980;2
990;0;990;0;990;0;990;0.88828825950622559;990;-0.055516287684440613;990;1617.9278564453125;990;3776.10107421875;990;1494.9960872168952;990;3521.6516993212281;990;-0.23720778967066283;990;1
1000;0;1000;0;1000;0;1000;0.88828825950622559;1000;-0.055516287684440613;1000;1617.9278564453125;1000;3776.10107421875;1000;1494.9960872168952;1000;3521.6516993212281;1000;-0.23720778967066283;1000;2
1010;0;1010;0;1010;0;1010;0.88828825950622559;1010;-0.055516287684440613;1010;1617.9278564453125;1010;3776.10107421875;1010;1494.9960872168952;1010;3521.6516993212281;1010;-0.23720778967066283;1010;2
1020;0;1020;0;1020;0;1020;0.88828825950622559;1020;-0.055516287684440613;1020;1617.9278564453125;1020;3776.10107421875;1020;1494.9960872168952;1020;3521.6516993212281;1020;-0.23720778967066283;1020;2
