Name;SimplePoseEst;
File;E:\TestfahrtDraftSimpleEstimator\Fahrt_2_Aufgebockt_vx_500_mit_Kameraausetzern.csv;
Starttime of export;133209532692063000;Mittwoch, 15. Februar 2023;17:47:49.206
Endtime of export;133209533281563000;Mittwoch, 15. Februar 2023;17:48:48.156


Name;TcModuleInput_InVYfromMotors;Name;TcModuleInput_InVXfromMotors;Name;TcModuleInput_InVThetafromMotors;Name;TcModuleInput_InCameraPose[2];Name;TcModuleInput_InCameraPose[1];Name;TcModuleInput_InCameraPose[0];Name;TcModuleOutput_OutEstY;Name;TcModuleOutput_OutEstX;Name;TcModuleOutput_OutEstTheta;Name;TcModuleOutput_OutDebugCase
SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10
SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True
SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InVYfromMotors;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InVXfromMotors;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InVThetafromMotors;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InCameraPose[2];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InCameraPose[1];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InCameraPose[0];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutEstY;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutEstX;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutEstTheta;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutDebugCase
NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1
Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350

0;0;0;0;0;0;0;-0.055805005133152008;0;1617.873779296875;0;3776.111328125;0;1617.873779296875;0;3776.111328125;0;-0.055805005133152008;0;1
10;0;10;0;10;0;10;-0.055805005133152008;10;1617.873779296875;10;3776.111328125;10;1617.873779296875;10;3776.111328125;10;-0.055805005133152008;10;1
20;0;20;0;20;0;20;-0.055805005133152008;20;1617.873779296875;20;3776.111328125;20;1617.873779296875;20;3776.111328125;20;-0.055805005133152008;20;1
30;0;30;0;30;0;30;-0.055805005133152008;30;1617.873779296875;30;3776.111328125;30;1617.873779296875;30;3776.111328125;30;-0.055805005133152008;30;1
