Name;SimpleEstANDContrl;
File;E:\hawino\Measurements\TestfahrtenSimpleEstimatorANDController\PRegler1_SprungInX_vorwaerts.csv;
Starttime of export;133211114555332000;Freitag, 17. Februar 2023;13:44:15.533
Endtime of export;133211115219532000;Freitag, 17. Februar 2023;13:45:21.953


Name;TcModuleInput_InVYfromMotors;Name;TcModuleInput_InVXfromMotors;Name;TcModuleInput_InVThetafromMotors;Name;TcModuleInput_InNextWaypoint[2];Name;TcModuleInput_InNextWaypoint[1];Name;TcModuleInput_InNextWaypoint[0];Name;TcModuleInput_InContrlI;Name;TcModuleInput_InContrP;Name;TcModuleInput_InContrIN;Name;TcModuleInput_InContrID;Name;TcModuleInput_InCameraPose[2];Name;TcModuleInput_InCameraPose[1];Name;TcModuleInput_InCameraPose[0];Name;TcModuleOutput_OutVtoMotors[2];Name;TcModuleOutput_OutVtoMotors[1];Name;TcModuleOutput_OutVtoMotors[0];Name;TcModuleOutput_OutEstY;Name;TcModuleOutput_OutEstX;Name;TcModuleOutput_OutEstTheta;Name;TcModuleOutput_OutErrorPose[2];Name;TcModuleOutput_OutErrorPose[1];Name;TcModuleOutput_OutErrorPose[0];Name;TcModuleOutput_Estimator_vWorld[2];Name;TcModuleOutput_Estimator_vWorld[1];Name;TcModuleOutput_Estimator_vWorld[0]
SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10
SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True
SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalInports.TcModuleInput_InVYfromMotors;SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalInports.TcModuleInput_InVXfromMotors;SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalInports.TcModuleInput_InVThetafromMotors;SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalInports.TcModuleInput_InNextWaypoint[2];SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalInports.TcModuleInput_InNextWaypoint[1];SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalInports.TcModuleInput_InNextWaypoint[0];SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalInports.TcModuleInput_InContrlI;SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalInports.TcModuleInput_InContrP;SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalInports.TcModuleInput_InContrIN;SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalInports.TcModuleInput_InContrID;SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalInports.TcModuleInput_InCameraPose[2];SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalInports.TcModuleInput_InCameraPose[1];SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalInports.TcModuleInput_InCameraPose[0];SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalOutports.TcModuleOutput_OutVtoMotors[2];SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalOutports.TcModuleOutput_OutVtoMotors[1];SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalOutports.TcModuleOutput_OutVtoMotors[0];SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalOutports.TcModuleOutput_OutEstY;SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalOutports.TcModuleOutput_OutEstX;SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalOutports.TcModuleOutput_OutEstTheta;SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalOutports.TcModuleOutput_OutErrorPose[2];SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalOutports.TcModuleOutput_OutErrorPose[1];SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalOutports.TcModuleOutput_OutErrorPose[0];SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalOutports.TcModuleOutput_Estimator_vWorld[2];SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalOutports.TcModuleOutput_Estimator_vWorld[1];SymbolName;Object4 (DraftSimpleEstimatorANDControl).AdditionalOutports.TcModuleOutput_Estimator_vWorld[0]
NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1;NetID;5.53.205.200.1.1
Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350

0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0
20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0
30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0
