Name;XY Scope Project;
File;E:\hawino\Measurements\Trajectory\Rectangle_P3_vRef500.csv;
Starttime of export;133228422645538000;Donnerstag, 9. März 2023;14:31:04.553
Endtime of export;133228422862727344;Donnerstag, 9. März 2023;14:31:26.272


Name;x, y X;x, y Y;xRef, yRef X;xRef, yRef Y;xObs, yObs X;xObs, yObs Y;vYworldToSimulink;vXworldToSimulink
SampleTime[ms];10;10;10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True;True;True
SymbolName;TrackingController.observer.xCameraPose.x;TrackingController.observer.xCameraPose.y;TrackingController.trajectory.xRef;TrackingController.trajectory.yRef;TrackingController.observer.yObserverdPose.x;TrackingController.observer.yObserverdPose.y;TrackingController.observer.vYworldToSimulink;TrackingController.observer.vXworldToSimulink
NetID;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1
Port;851;851;851;851;851;851;851;851

0;1000.4501953125;1031.774658203125;1003;1000;1000.1112658052841;1029.42784626438;-11.769924762808195;20.670219747885508
10;1000.4501953125;1031.774658203125;1003;1000;1000.2166995741832;1028.7914984906383;-29.361758565091261;-12.46879630366259
20;1000.4501953125;1031.774658203125;1003;1000;1000.423401771662;1028.67379924301;-17.698353597240278;-15.618238401681662
30;1000.4501953125;1031.774658203125;1006;1000;1000.2987138086254;1028.3801816573593;-26.42487035346705;8.1215674710662586
40;1000.4501953125;1031.774658203125;1006;1000;1000.2532490418499;1028.2939709097434;-17.318938348914727;1.7552731112130005
50;1000.2691040039063;1031.08544921875;1006;1000;1000.4967509540403;1028.4086455886868;-37.804698306878656;-5.4759851424667749
60;1000.2691040039063;1031.08544921875;1006;1000;1000.3679391365263;1027.717742000156;-15.510321053918366;-1.6866410564980185
70;1000.2691040039063;1031.08544921875;1006;1000;1000.3030014100293;1027.7317876936347;-33.337588363887988;0.22666323391132881
80;1000.2691040039063;1031.08544921875;1010;1000;1000.3612351499933;1027.6666087115298;-16.37180853810705;-5.5504243776802049
90;1000.0775146484375;1030.861083984375;1010;1000;1000.3302194642282;1027.5117315437121;-42.99542724163922;2.9616171049951978
100;1000.0775146484375;1030.861083984375;1010;1000;999.926287558593;1027.4298975878378;-21.293695770327481;13.074157902374763
110;1000.0775146484375;1030.861083984375;1010;1000;1000.0112813222446;1027.1589246632288;-47.124063818081012;1.1960735214789349
120;1000.0775146484375;1030.861083984375;1010;1000;1000.1980284813739;1027.2991748046698;-18.781406625299756;-11.523069188954139
130;999.7091064453125;1029.19677734375;1015;1000;1000.2144719804832;1027.3619766863606;-42.242418419801425;4.4587682530310557
140;999.7091064453125;1029.19677734375;1015;1000;999.82867640215011;1025.6287705478017;-28.370599263681317;26.952780333327926
150;999.7091064453125;1029.19677734375;1015;1000;999.71051830406259;1025.4164246060955;-54.995985699487072;20.355887859747842
160;999.7091064453125;1029.19677734375;1015;1000;999.773343909917;1025.2504178610866;-25.297707733038752;-0.57431417882853575
170;999.5250244140625;1029.23876953125;1015;1000;1000.1015907515512;1024.9940755897426;-45.923114547159841;-3.1047161879688829
180;999.5250244140625;1029.23876953125;1021;1000;1000.0679479625297;1024.9600742358848;-29.846165841150036;22.19971736421591
190;999.5250244140625;1029.23876953125;1021;1000;999.95568512593934;1024.7650917939477;-45.385489443949687;51.0780124316363
200;999.5250244140625;1029.23876953125;1021;1000;1000.1601295684694;1024.6398195190254;-12.126472818953188;29.017818395226463
210;999.205810546875;1029.0369873046875;1021;1000;1000.7256695442104;1024.5640116076547;-41.563052152687888;10.095292265546979
220;999.205810546875;1029.0369873046875;1021;1000;1000.7135002715402;1024.3960678634419;-30.890413159845743;26.737848646372939
230;999.205810546875;1029.0369873046875;1028;1000;1000.8121865618565;1024.3138132255538;-37.421733412271074;37.266851765452493
240;999.205810546875;1029.0369873046875;1028;1000;1001.135069292097;1024.1686271793365;-15.738166043677438;33.02573907741737
250;999.205810546875;1029.0369873046875;1028;1000;1001.4781216387016;1024.22436411763;-47.822848111875686;40.325867574553627
260;999.9566650390625;1025.5615234375;1028;1000;1001.677637450452;1024.2799194148968;-33.413632917532048;44.0744291240936
270;999.9566650390625;1025.5615234375;1028;1000;1002.8197898831703;1020.7974677047712;-39.980078753380241;46.318146684799942
280;999.9566650390625;1025.5615234375;1036;1000;1003.3757648663008;1020.6511454418489;-21.131956194299754;48.24125766435499
290;999.9566650390625;1025.5615234375;1036;1000;1003.7943586506184;1020.6737688385131;-29.218710234055109;64.796819348929333
300;1000.8281860351563;1025.031005859375;1036;1000;1004.0072434239287;1020.746155269207;-18.731277770997877;60.987492342721204
310;1000.8281860351563;1025.031005859375;1036;1000;1005.3231737349142;1020.4734104457363;-27.836900779811693;36.734597892312252
320;1000.8281860351563;1025.031005859375;1036;1000;1005.9387918001298;1020.5390747453566;-31.796726079145909;66.165111006761563
330;1000.8281860351563;1025.031005859375;1045;1000;1006.3371849409326;1020.7199368830301;-20.392598996555531;62.813028617435975
340;1000.8281860351563;1025.031005859375;1045;1000;1006.7768388773581;1020.7004312806502;-19.083679933323904;59.1794987437884
350;1001.4309692382813;1024.4510498046875;1045;1000;1006.894189039216;1020.9503601851241;-48.639256665745165;82.303785547747808
360;1001.4309692382813;1024.4510498046875;1045;1000;1007.7985890458267;1020.3008320592929;-20.708773057793643;69.834501930153237
370;1001.4309692382813;1024.4510498046875;1045;1000;1008.5206739786487;1020.2300700141624;-38.444858663595895;63.253842570064023
380;1001.4309692382813;1024.4510498046875;1055;1000;1008.9516405114865;1020.3318864151828;-39.538221341869253;78.30798668237783
390;1001.4309692382813;1024.4510498046875;1055;1000;1009.2115104195326;1020.3216551626696;-38.565371024789627;67.728143850044873
400;1003.61328125;1021.0861206054688;1055;1000;1009.6643328955822;1020.0836546096876;-36.137197200451723;89.082887929689619
410;1003.61328125;1021.0861206054688;1055;1000;1012.1206676700558;1016.8113001813398;-66.91672372680749;107.78859745358754
420;1003.61328125;1021.0861206054688;1055;1000;1012.5707522581118;1016.7840645385106;-70.045390673992756;71.785326786510922
