Name;XY Scope Project;
File;E:\hawino\Measurements\Trajectory\cyclicTrajectory.csv;
Starttime of export;133244135421787000;Montag, 27. März 2023;19:59:02.178
Endtime of export;133244136106087000;Montag, 27. März 2023;20:00:10.608


Name;xCam, yCam X;xCam, yCam Y;xObs, yObs X;xObs, yObs Y;xRef, yRef X;xRef, yRef Y;thetaObs (1);thetaRef;thetaCam;thetaObs
SampleTime[ms];10;10;10;10;10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True;True;True;True;True
SymbolName;ControlPRG.observer.xCameraPose.x;ControlPRG.observer.xCameraPose.y;ControlPRG.observer.yObserverdPose.x;ControlPRG.observer.yObserverdPose.y;ControlPRG.trajectory.referencePose.x;ControlPRG.trajectory.referencePose.y;ControlPRG.observer.yObserverdPose.theta;ControlPRG.trajectory.referencePose.theta;ControlPRG.observer.xCameraPose.theta;ControlPRG.observer.yObserverdPose.theta
NetID;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1
Port;851;851;851;851;851;851;851;851;851;851

0;1544.7987060546875;1019.744140625;1591.8488692989929;1254.5378540708487;1650;1464.8170995417663;0.97539769684343991;2.1796186438852025;0.60447138547897339;0.97539769684343991
10;1544.7987060546875;1019.744140625;1591.781481374996;1259.9811206083325;1650;1489.8170995417661;0.984827549805414;2.1371967439230373;0.60447138547897339;0.984827549805414
20;1544.7987060546875;1019.744140625;1591.7394359248749;1265.6152229661846;1650;1489.8170995417661;0.99629830387469931;2.1371967439230373;0.60447138547897339;0.99629830387469931
30;1555.0576171875;1042.083251953125;1592.2751731524975;1270.980521848488;1650;1489.8170995417661;1.0060317968660528;2.1371967439230373;0.64991408586502075;1.0060317968660528
40;1555.0576171875;1042.083251953125;1592.6880993483344;1276.4323732097344;1650;1489.8170995417661;1.0139176201952866;2.1371967439230373;0.64991408586502075;1.0139176201952866
50;1555.0576171875;1042.083251953125;1592.5070810607349;1282.2015463827445;1650;1489.8170995417661;1.0228772732951983;2.1371967439230373;0.64991408586502075;1.0228772732951983
60;1555.0576171875;1042.083251953125;1592.3614442050987;1287.7448909270493;1650;1514.8170995417661;1.0335901238217273;2.0942643341270393;0.64991408586502075;1.0335901238217273
70;1561.1949462890625;1061.05126953125;1592.6646817000456;1293.2083091209859;1650;1514.8170995417661;1.0440716028677546;2.0942643341270393;0.7044600248336792;1.0440716028677546
80;1561.1949462890625;1061.05126953125;1593.154850462995;1298.563518346228;1650;1514.8170995417661;1.0531830321311464;2.0942643341270393;0.7044600248336792;1.0531830321311464
90;1561.1949462890625;1061.05126953125;1593.4157658391173;1304.0942874403297;1650;1514.8170995417661;1.0619360628976684;2.0942643341270393;0.7044600248336792;1.0619360628976684
100;1561.1949462890625;1061.05126953125;1593.4720264149885;1309.6127110208784;1650;1514.8170995417661;1.0706312865575398;2.0942643341270393;0.7044600248336792;1.0706312865575398
110;1561.1949462890625;1061.05126953125;1594.278529800617;1314.7076639197528;1650;1539.8170995417659;1.0818132815056776;2.0508590480308486;0.7044600248336792;1.0818132815056776
120;0;0;1595.7234903152228;1319.266707567406;1650;1539.8170995417659;1.0938969592779326;2.0508590480308486;0;1.0938969592779326
130;0;0;1596.442301551504;1323.9661089913343;1650;1539.8170995417659;1.1057208709629414;2.0508590480308486;0;1.1057208709629414
140;0;0;1596.8719261362946;1330.8803635082379;1650;1539.8170995417659;1.1192426275210154;2.0508590480308486;0;1.1192426275210154
150;0;0;1597.5364486417914;1337.7194893351398;1650;1539.8170995417659;1.1321015528752623;2.0508590480308486;0;1.1321015528752623
160;1592.42333984375;1131.76416015625;1599.0280684286149;1344.4373621500802;1650;1564.8170995417659;1.1478958735607439;2.0070189336802686;0.81862270832061768;1.1478958735607439
170;1592.42333984375;1131.76416015625;1600.5361913556214;1350.915964399494;1650;1564.8170995417659;1.1651484228946452;2.0070189336802686;0.81862270832061768;1.1651484228946452
180;1592.42333984375;1131.76416015625;1601.1188079737617;1355.6980097124244;1650;1564.8170995417659;1.1781217509749191;2.0070189336802686;0.81862270832061768;1.1781217509749191
190;1592.42333984375;1131.76416015625;1601.6465202487329;1360.6313983298221;1650;1564.8170995417659;1.1905617079964193;2.0070189336802686;0.81862270832061768;1.1905617079964193
200;1599.6568603515625;1153.804443359375;1602.7185495678871;1365.7651283200592;1650;1564.8170995417659;1.20437029713534;2.0070189336802686;0.86617231369018555;1.20437029713534
210;1599.6568603515625;1153.804443359375;1604.1138988860114;1370.0982263155431;1650;1589.8170995417659;1.2187535270072178;1.9627824202812556;0.86617231369018555;1.2187535270072178
220;1599.6568603515625;1153.804443359375;1605.3984924997528;1374.4229390549535;1650;1589.8170995417659;1.2322954039410472;1.9627824202812556;0.86617231369018555;1.2322954039410472
230;1599.6568603515625;1153.804443359375;1606.3607873887718;1379.2239179549358;1650;1589.8170995417659;1.2452916537567611;1.9627824202812556;0.86617231369018555;1.2452916537567611
240;1599.6568603515625;1153.804443359375;1607.2693412867293;1383.9911709015548;1650;1589.8170995417659;1.2582382493336;1.9627824202812556;0.86617231369018555;1.2582382493336
250;1614.973876953125;1195.73974609375;1608.4798418020203;1388.3288899856098;1650;1589.8170995417659;1.2709653264330745;1.9627824202812556;0.98083186149597168;1.2709653264330745
260;1614.973876953125;1195.73974609375;1609.9060075062926;1392.6408523805642;1650;1614.8170995417656;1.2856448293321294;1.9181882845137805;0.98083186149597168;1.2856448293321294
270;1614.973876953125;1195.73974609375;1611.1850883553;1397.4951647982314;1650;1614.8170995417656;1.3016909755506307;1.9181882845137805;0.98083186149597168;1.3016909755506307
