Name;XY Scope Project;
File;E:\hawino\Measurements\Trajectory\realTrajectory.csv;
Starttime of export;133228611284515000;Donnerstag, 9. März 2023;19:45:28.451
Endtime of export;133228611419320327;Donnerstag, 9. März 2023;19:45:41.932


Name;x, y X;x, y Y;xRef, yRef X;xRef, yRef Y;xObs, yObs X;xObs, yObs Y;vYworldToSimulink;vXworldToSimulink;e
SampleTime[ms];10;10;10;10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True;True;True;True
SymbolName;TrackingController.observer.xCameraPose.x;TrackingController.observer.xCameraPose.y;TrackingController.trajectory.xRef;TrackingController.trajectory.yRef;TrackingController.observer.yObserverdPose.x;TrackingController.observer.yObserverdPose.y;TrackingController.observer.vYworldToSimulink;TrackingController.observer.vXworldToSimulink;Camera.cameraData.robotPosition[2].e
NetID;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1
Port;851;851;851;851;851;851;851;851;851

0;1401.11767578125;1001.0341796875;0;0;1359.4198883687134;959.45285747951;0;0;3.0236611366271973
10;1401.11767578125;1001.0341796875;0;0;1359.42549010297;959.43749547694824;0;0;2.4001169204711914
20;1401.037353515625;1001.1419677734375;0;0;1359.4300835250604;959.42489863484752;0;0;2.4001169204711914
30;1401.037353515625;1001.1419677734375;0;0;1359.4338501311745;959.414569224325;0;0;2.4001169204711914
40;1401.037353515625;1001.1419677734375;0;0;1359.4224807403755;959.42550096316518;0;0;2.4001169204711914
50;1401.037353515625;1001.1419677734375;0;0;1359.4131578399204;959.43446498901415;0;0;2.4001169204711914
60;1401.037353515625;1001.1419677734375;0;0;1359.4055130615473;959.44181549021039;0;0;2.4001169204711914
70;1401.037353515625;1001.1419677734375;0;0;1359.3992443432812;959.44784290119128;0;0;2.4001169204711914
80;1401.037353515625;1001.1419677734375;0;0;1359.3941039943031;959.45278537819559;0;0;2.6436457633972168
90;1401.033203125;1001.1434326171875;0;0;1359.3898889081411;959.45683820933914;0;0;2.6436457633972168
100;1401.033203125;1001.1434326171875;0;0;1359.3864325374882;959.4601615308768;0;0;2.6436457633972168
110;1401.033203125;1001.1434326171875;0;0;1359.3828512432403;959.46315032641269;0;0;2.6436457633972168
120;1401.033203125;1001.1434326171875;0;0;1359.3799145819571;959.46560113875216;0;0;2.6436457633972168
130;1401.033203125;1001.1434326171875;0;0;1359.3775065197049;959.46761080487056;0;0;2.7654032707214355
140;1401.140869140625;1001.1029052734375;0;0;1359.3755319086581;959.46925873108762;0;0;2.7654032707214355
150;1401.140869140625;1001.1029052734375;0;0;1359.3739127275997;959.47061003058559;0;0;2.7654032707214355
160;1401.140869140625;1001.1029052734375;0;0;1359.3919648819442;959.464423174299;0;0;2.7654032707214355
170;1401.140869140625;1001.1029052734375;0;0;1359.4067676485067;959.459349952144;0;0;2.7654032707214355
180;1401.140869140625;1001.1029052734375;0;0;1359.4189059170881;959.45518990997675;0;0;2.7654032707214355
190;1401.140869140625;1001.1029052734375;0;0;1359.4288592973246;959.45177867539974;0;0;2.7654032707214355
200;1401.140869140625;1001.1029052734375;0;0;1359.4370210691186;959.44898146304649;0;0;2.7654032707214355
210;1401.140869140625;1001.1029052734375;0;0;1359.4437137219898;959.44668774891693;0;0;2.5991873741149902
220;1401.0234375;1001.092041015625;0;0;1359.4492016973441;959.44480690333069;0;0;2.5991873741149902
230;1401.0234375;1001.092041015625;0;0;1359.4537018371345;959.44326460994989;0;0;2.5991873741149902
240;1401.0234375;1001.092041015625;0;0;1359.4362542564504;959.44004436297143;0;0;2.5991873741149902
250;1401.0234375;1001.092041015625;0;0;1359.4219472402892;959.43740376044912;0;0;2.5991873741149902
260;1401.0234375;1001.092041015625;0;0;1359.4102154870373;959.43523846638072;0;0;2.3807992935180664
270;1401.066162109375;1001.1277465820313;0;0;1359.4005954493705;959.43346292524473;0;0;2.3807992935180664
280;1401.066162109375;1001.1277465820313;0;0;1359.3927070184839;959.43200698151315;0;0;2.3807992935180664
290;1401.066162109375;1001.1277465820313;0;0;1359.3939289348443;959.43724010960636;0;0;2.3807992935180664
300;1401.066162109375;1001.1277465820313;0;0;1359.3949309062598;959.4415312746429;0;0;2.3807992935180664
310;1401.066162109375;1001.1277465820313;1400;1000;1359.3957525228204;959.44505002997278;0;0;2.8210659027099609
320;1401.1375732421875;1001.0771484375;1400;1000;1359.3964262484003;959.44793540934324;0;0;2.8210659027099609
