Name;XY Scope Project;
File;E:\hawino\Measurements\Trajectory\testauftrag.csv;
Starttime of export;133245718363175000;Mittwoch, 29. März 2023;15:57:16.317
Endtime of export;133245718651045081;Mittwoch, 29. März 2023;15:57:45.104


Name;xCam, yCam X;xCam, yCam Y;xObs, yObs X;xObs, yObs Y;xRef, yRef X;xRef, yRef Y;thetaObs (1);thetaRef;thetaCam;thetaObs
SampleTime[ms];10;10;10;10;10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True;True;True;True;True
SymbolName;ControlPRG.observer.xCameraPose.x;ControlPRG.observer.xCameraPose.y;ControlPRG.observer.yObserverdPose.x;ControlPRG.observer.yObserverdPose.y;ControlPRG.trajectory.referencePose.x;ControlPRG.trajectory.referencePose.y;ControlPRG.observer.yObserverdPose.theta;ControlPRG.trajectory.referencePose.theta;ControlPRG.observer.xCameraPose.theta;ControlPRG.observer.yObserverdPose.theta
NetID;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1
Port;851;851;851;851;851;851;851;851;851;851

0;1818.814697265625;1366.88720703125;1818.7890036871413;1366.8888691891866;0;0;-1.5795987199197503;0;-1.5794516801834106;-1.5795987199197503
10;1818.814697265625;1366.88720703125;1818.7892606229261;1366.8888525676073;0;0;-1.5795972495223869;0;-1.5794516801834106;-1.5795972495223869
20;1818.814697265625;1366.88720703125;1818.7895149893532;1366.8888361122438;0;0;-1.5795957938289971;0;-1.5794516801834106;-1.5795957938289971
30;1818.8031005859375;1366.896728515625;1818.7897668121159;1366.8888198214338;0;0;-1.5795943526925411;0;-1.5792070627212524;-1.5795943526925411
40;1818.8031005859375;1366.896728515625;1818.790016116651;1366.8888036935321;0;0;-1.5795929259674497;0;-1.5792070627212524;-1.5795929259674497
50;1818.8031005859375;1366.896728515625;1818.7901469613439;1366.8888829417531;0;0;-1.5795890673349877;0;-1.5792070627212524;-1.5795890673349877
60;1818.8031005859375;1366.896728515625;1818.7902764975897;1366.8889613974918;0;0;-1.5795852472888503;0;-1.5792070627212524;-1.5795852472888503
70;1818.8031005859375;1366.896728515625;1818.7904047384732;1366.8890390686731;0;0;-1.5795814654431744;0;-1.5792070627212524;-1.5795814654431744
80;1818.778076171875;1366.834228515625;1818.7905316969477;1366.8891159631426;0;0;-1.5795777214159552;0;-1.5793236494064331;-1.5795777214159552
90;1818.778076171875;1366.834228515625;1818.7906573858377;1366.8891920886674;0;0;-1.5795740148290083;0;-1.5793236494064331;-1.5795740148290083
100;1818.778076171875;1366.834228515625;1818.790531573698;1366.8886424529369;0;0;-1.5795715111747826;0;-1.5793236494064331;-1.5795715111747826
110;1818.778076171875;1366.834228515625;1818.7904070196798;1366.8880983135637;0;0;-1.579569032557099;0;-1.5793236494064331;-1.579569032557099
120;1818.7752685546875;1366.875;1818.7902837112017;1366.8875596155842;0;0;-1.5795665787255924;0;-1.5795838832855225;-1.5795665787255924
130;1818.7752685546875;1366.875;1818.7901616358085;1366.8870263045847;0;0;-1.5795641494324009;0;-1.5795838832855225;-1.5795641494324009
140;1818.7752685546875;1366.875;1818.7900127049973;1366.8869060415389;0;0;-1.5795643467709322;0;-1.5795838832855225;-1.5795643467709322
150;1818.7752685546875;1366.875;1818.7898652634942;1366.8867869811234;0;0;-1.579564542136078;0;-1.5795838832855225;-1.579564542136078
160;1818.7752685546875;1366.875;1818.7897192964063;1366.8866691113121;0;0;-1.5795647355475724;0;-1.5795838832855225;-1.5795647355475724
170;1818.8209228515625;1366.878662109375;1818.7895747889891;1366.886552420199;0;0;-1.5795649270249519;0;-1.5790281295776367;-1.5795649270249519
180;1818.8209228515625;1366.878662109375;1818.7894317266459;1366.8864368959969;0;0;-1.5795651165875575;0;-1.5790281295776367;-1.5795651165875575
190;1818.8209228515625;1366.878662109375;1818.7897466378952;1366.8863591481306;0;0;-1.5795597467174583;0;-1.5790281295776367;-1.5795597467174583
200;1818.8209228515625;1366.878662109375;1818.7900584000317;1366.8862821777432;0;0;-1.57955443054606;0;-1.5790281295776367;-1.57955443054606
210;1818.77978515625;1366.8890380859375;1818.7903670445471;1366.8862059770595;0;0;-1.5795491675363758;0;-1.5796104669570923;-1.5795491675363758
220;1818.77978515625;1366.8890380859375;1818.7906726026172;1366.8861305383825;0;0;-1.5795439571567884;0;-1.5796104669570923;-1.5795439571567884
230;1818.77978515625;1366.8890380859375;1818.7905637281535;1366.8861596138581;0;0;-1.5795446222547915;0;-1.5796104669570923;-1.5795446222547915
240;1818.77978515625;1366.8890380859375;1818.7904559424344;1366.886188398579;0;0;-1.5795452807018144;0;-1.5796104669570923;-1.5795452807018144
250;1818.77978515625;1366.8890380859375;1818.7903492345727;1366.8862168954524;0;0;-1.5795459325643673;0;-1.5796104669570923;-1.5795459325643673
260;1818.79345703125;1366.8944091796875;1818.7902435937895;1366.8862451073574;0;0;-1.5795465779082945;0;-1.5793122053146362;-1.5795465779082945
270;1818.79345703125;1366.8944091796875;1818.7901390094141;1366.8862730371432;0;0;-1.5795472167987825;0;-1.5793122053146362;-1.5795472167987825
280;1818.79345703125;1366.8944091796875;1818.7901721896326;1366.8863543985685;0;0;-1.5795448666839411;0;-1.5793122053146362;-1.5795448666839411
290;1818.79345703125;1366.8944091796875;1818.7902050380487;1366.8864349463797;0;0;-1.5795425400702481;0;-1.5793122053146362;-1.5795425400702481
300;1818.7783203125;1366.885009765625;1818.7902375579808;1366.8865146887129;0;0;-1.5795402367226921;0;-1.5792851448059082;-1.5795402367226921
