Name;XY Scope Project;
File;E:\hawino\Measurements\Trajectory\trajectory_with_kalman_and_debug_flag.csv;
Starttime of export;133240800810493000;Donnerstag, 23. März 2023;22:21:21.049
Endtime of export;133240801055832753;Donnerstag, 23. März 2023;22:21:45.583


Name;xCam, yCam X;xCam, yCam Y;xObs, yObs X;xObs, yObs Y;xRef, yRef X;xRef, yRef Y;xKalman, yKalman X;xKalman, yKalman Y;thetaObs (1);thetaRef;TcModuleOutput_DEBUG (2);xCam;yCam;yObs;xObs;xRef;yRef;thetaObs;TcModuleOutput_DEBUG;TcModuleOutput_DEBUG (1)
SampleTime[ms];10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True
SymbolName;ControlPRG.observer.xCameraPose.x;ControlPRG.observer.xCameraPose.y;ControlPRG.observer.yObserverdPose.x;ControlPRG.observer.yObserverdPose.y;ControlPRG.trajectory.referencePose.x;ControlPRG.trajectory.referencePose.y;ControlPRG.observer.yKalmanObservedPose.x;ControlPRG.observer.yKalmanObservedPose.y;ControlPRG.observer.yObserverdPose.theta;ControlPRG.trajectory.referencePose.theta;Object4 (KalmanObserver_R2021b).AdditionalOutports.TcModuleOutput_DEBUG;ControlPRG.observer.xCameraPose.x;ControlPRG.observer.xCameraPose.y;ControlPRG.observer.yObserverdPose.y;ControlPRG.observer.yObserverdPose.x;ControlPRG.trajectory.referencePose.x;ControlPRG.trajectory.referencePose.y;ControlPRG.observer.yObserverdPose.theta;Object4 (KalmanObserver_R2021b).AdditionalOutports.TcModuleOutput_DEBUG;Object4 (KalmanObserver_R2021b).AdditionalOutports.TcModuleOutput_DEBUG
NetID;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1
Port;851;851;851;851;851;851;851;851;851;851;354;851;851;851;851;851;851;851;354;354

0;970.0552978515625;972.0938720703125;1000.0337251863948;1000.5515327969142;0;0;1000.0337251863948;1000.5515327969142;3.1368138267696466;0;0;970.0552978515625;972.0938720703125;1000.5515327969142;1000.0337251863948;0;0;3.1368138267696466;0;0
10;970.0552978515625;972.0938720703125;1000.0203098420449;1000.6928782005432;0;0;1000.0203098420449;1000.6928782005432;3.13792759382353;0;0;970.0552978515625;972.0938720703125;1000.6928782005432;1000.0203098420449;0;0;3.13792759382353;0;0
20;970.004150390625;972.11468505859375;1001.0081356038729;1001.8220540506425;0;0;1001.0081356038729;1001.8220540506425;3.1420779356693336;0;0;970.004150390625;972.11468505859375;1001.8220540506425;1001.0081356038729;0;0;3.1420779356693336;0;0
30;970.004150390625;972.11468505859375;998.91788593107958;999.86354378596207;0;0;998.91788593107958;999.86354378596207;3.1364890711048443;0;1;970.004150390625;972.11468505859375;999.86354378596207;998.91788593107958;0;0;3.1364890711048443;1;1
40;970.004150390625;972.11468505859375;998.01676686444148;999.08312149915355;0;0;998.01676686444148;999.08312149915355;3.1345452822868287;0;0;970.004150390625;972.11468505859375;999.08312149915355;998.01676686444148;0;0;3.1345452822868287;0;0
50;970.004150390625;972.11468505859375;998.19566639973186;999.37280076194372;0;0;998.19566639973186;999.37280076194372;3.1359129235335392;0;0;970.004150390625;972.11468505859375;999.37280076194372;998.19566639973186;0;0;3.1359129235335392;0;0
60;970.004150390625;972.11468505859375;999.35648174371056;1000.635492012582;0;0;999.35648174371056;1000.635492012582;3.1402920223503328;0;0;970.004150390625;972.11468505859375;1000.635492012582;999.35648174371056;0;0;3.1402920223503328;0;0
70;969.9991455078125;972.0692138671875;1001.4110193731309;1002.7839138514247;0;0;1001.4110193731309;1002.7839138514247;3.1474129151971484;0;0;969.9991455078125;972.0692138671875;1002.7839138514247;1001.4110193731309;0;0;3.1474129151971484;0;0
80;969.9991455078125;972.0692138671875;999.2899816242201;1000.734804643029;0;0;999.2899816242201;1000.734804643029;3.1412772621585043;0;1;969.9991455078125;972.0692138671875;1000.734804643029;999.2899816242201;0;0;3.1412772621585043;1;1
90;969.9991455078125;972.0692138671875;998.3612482920845;999.87289917724024;0;0;998.3612482920845;999.87289917724024;3.1388412308085356;0;0;969.9991455078125;972.0692138671875;999.87289917724024;998.3612482920845;0;0;3.1388412308085356;0;0
100;969.9991455078125;972.0692138671875;998.51539094146528;1000.0893000080155;0;0;998.51539094146528;1000.0893000080155;3.1397657195422224;0;0;969.9991455078125;972.0692138671875;1000.0893000080155;998.51539094146528;0;0;3.1397657195422224;0;0
110;969.9991455078125;972.0692138671875;999.65402200069389;1001.2860976631982;0;0;999.65402200069389;1001.2860976631982;3.1437458455206859;0;0;969.9991455078125;972.0692138671875;1001.2860976631982;999.65402200069389;0;0;3.1437458455206859;0;0
120;973.9573974609375;972.65557861328125;1001.6886916555334;1003.3752728294226;0;0;1001.6886916555334;1003.3752728294226;3.15050752588063;0;0;973.9573974609375;972.65557861328125;1003.3752728294226;1001.6886916555334;0;0;3.15050752588063;0;0
130;973.9573974609375;972.65557861328125;999.935789142673;1001.3257224483389;0;0;999.935789142673;1001.3257224483389;3.14284779651003;0;1;973.9573974609375;972.65557861328125;1001.3257224483389;999.935789142673;0;0;3.14284779651003;1;1
140;973.9573974609375;972.65557861328125;999.34233654762556;1000.4640068743821;0;0;999.34233654762556;1000.4640068743821;3.1390279503086651;0;0;973.9573974609375;972.65557861328125;1000.4640068743821;999.34233654762556;0;0;3.1390279503086651;0;0
150;973.9573974609375;972.65557861328125;999.802230475275;1000.6811714245298;0;0;999.802230475275;1000.6811714245298;3.138694738061933;0;0;973.9573974609375;972.65557861328125;1000.6811714245298;999.802230475275;0;0;3.138694738061933;0;0
160;973.9573974609375;972.65557861328125;1001.2200762859836;1001.8792551720386;0;0;1001.2200762859836;1001.8792551720386;3.1415305428677152;0;0;973.9573974609375;972.65557861328125;1001.8792551720386;1001.2200762859836;0;0;3.1415305428677152;0;0
170;973.9573974609375;972.65557861328125;1003.5101182042038;1003.9701925536962;0;0;1003.5101182042038;1003.9701925536962;3.1472498199790389;0;0;973.9573974609375;972.65557861328125;1003.9701925536962;1003.5101182042038;0;0;3.1472498199790389;0;0
180;970.02191162109375;972.1160888671875;1006.5952764260701;1006.8748248261766;0;0;1006.5952764260701;1006.8748248261766;3.1555958926932113;0;0;970.02191162109375;972.1160888671875;1006.8748248261766;1006.5952764260701;0;0;3.1555958926932113;0;0
190;970.02191162109375;972.1160888671875;1003.972567229903;1004.4322086077282;0;0;1003.972567229903;1004.4322086077282;3.1487031921472761;0;1;970.02191162109375;972.1160888671875;1004.4322086077282;1003.972567229903;0;0;3.1487031921472761;1;1
200;970.02191162109375;972.1160888671875;1002.592497137817;1003.2163026737663;0;0;1002.592497137817;1003.2163026737663;3.1455864305431684;0;0;970.02191162109375;972.1160888671875;1003.2163026737663;1002.592497137817;0;0;3.1455864305431684;0;0
210;970.02191162109375;972.1160888671875;1002.3406059212485;1003.1142604824688;0;0;1002.3406059212485;1003.1142604824688;3.1458988806755777;0;0;970.02191162109375;972.1160888671875;1003.1142604824688;1002.3406059212485;0;0;3.1458988806755777;0;0
220;970.02191162109375;972.1160888671875;1003.1139774113092;1004.0246183910617;0;0;1003.1139774113092;1004.0246183910617;3.1493287967266133;0;0;970.02191162109375;972.1160888671875;1004.0246183910617;1003.1139774113092;0;0;3.1493287967266133;0;0
230;969.990234375;972.101806640625;1004.8200860731855;1005.8561583483638;0;0;1004.8200860731855;1005.8561583483638;3.1555959192137313;0;0;969.990234375;972.101806640625;1005.8561583483638;1004.8200860731855;0;0;3.1555959192137313;0;0
240;969.990234375;972.101806640625;1002.3575251303463;1003.5033059230567;0;0;1002.3575251303463;1003.5033059230567;3.1486995044303514;0;1;969.990234375;972.101806640625;1003.5033059230567;1002.3575251303463;0;0;3.1486995044303514;1;1
250;969.990234375;972.101806640625;1001.1214147584358;1002.3680663743756;0;0;1001.1214147584358;1002.3680663743756;3.1455793628966897;0;0;969.990234375;972.101806640625;1002.3680663743756;1001.1214147584358;0;0;3.1455793628966897;0;0
260;969.990234375;972.101806640625;1000.9989118451276;1002.3385016909989;0;0;1000.9989118451276;1002.3385016909989;3.1458887336054877;0;0;969.990234375;972.101806640625;1002.3385016909989;1000.9989118451276;0;0;3.1458887336054877;0;0
