Name;XY Scope Project;
File;E:\hawino\Measurements\VarianceMeasurement\NewVarinaceMeasurements\Scope Project.csv;
Starttime of export;133228415217429000;Donnerstag, 9. März 2023;14:18:41.742
Endtime of export;133228415441340474;Donnerstag, 9. März 2023;14:19:04.134


Name;x, y X;x, y Y;xRef, yRef X;xRef, yRef Y;vYworldToSimulink;vXworldToSimulink
SampleTime[ms];10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True
SymbolName;TrackingController.observer.xCameraPose.x;TrackingController.observer.xCameraPose.y;TrackingController.trajectory.xRef;TrackingController.trajectory.yRef;TrackingController.observer.vYworldToSimulink;TrackingController.observer.vXworldToSimulink
NetID;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1
Port;851;851;851;851;851;851

0;994.3753662109375;1021.0776977539063;1003;1000;-7.1997394079643291;6.7398143346718973
10;994.3753662109375;1021.0776977539063;1003;1000;7.0955309934625408;12.797861994730825
20;994.3753662109375;1021.0776977539063;1003;1000;-35.393397333856328;22.774252890712955
30;994.3753662109375;1021.0776977539063;1006;1000;-11.536109872808394;12.91539064431243
40;994.4498291015625;1020.9803466796875;1006;1000;3.17215572085546;17.070304799364958
50;994.4498291015625;1020.9803466796875;1006;1000;-32.227739593834869;28.900214871214736
60;994.4498291015625;1020.9803466796875;1006;1000;-9.3178699621351289;13.710096424729851
70;994.4498291015625;1020.9803466796875;1006;1000;-7.4861597838022336;17.101965693694513
80;994.4498291015625;1020.9803466796875;1010;1000;-35.80876022907696;32.9901082591175
90;994.7298583984375;1019.934326171875;1010;1000;-20.166004366139244;21.3634261172172
100;994.7298583984375;1019.934326171875;1010;1000;-4.8754597869234892;26.213100860883653
110;994.7298583984375;1019.934326171875;1010;1000;-44.5620819854611;41.922253614353956
120;994.7298583984375;1019.934326171875;1010;1000;-32.2432350282311;26.449460702160369
130;994.7298583984375;1019.934326171875;1015;1000;-15.458744561294513;22.480886340329523
140;996.2967529296875;1020.5838623046875;1015;1000;-44.763796161587926;46.911236120413022
150;996.2967529296875;1020.5838623046875;1015;1000;-22.8780905345308;49.143547702190858
160;996.2967529296875;1020.5838623046875;1015;1000;-20.140547076545396;35.534549007913945
170;996.2967529296875;1020.5838623046875;1015;1000;-56.927685419080937;32.427597977165554
180;996.96295166015625;1020.39208984375;1021;1000;-28.586792472545419;48.598656495181309
190;996.96295166015625;1020.39208984375;1021;1000;-16.001528380979877;60.554317187793558
200;996.96295166015625;1020.39208984375;1021;1000;-66.775861069181786;51.960465507740842
210;996.96295166015625;1020.39208984375;1021;1000;-50.273654517239052;33.2998344173476
220;999.7579345703125;1017.6077270507813;1021;1000;-39.777667844626478;57.958959183707229
230;999.7579345703125;1017.6077270507813;1028;1000;-59.40280051177993;58.930610394138149
240;999.7579345703125;1017.6077270507813;1028;1000;-48.409888114444755;46.8014726386113
250;999.7579345703125;1017.6077270507813;1028;1000;-52.188266022201788;57.944560030907354
260;999.7579345703125;1017.6077270507813;1028;1000;-35.635812765069772;43.839870799865537
270;1000.718505859375;1016.6688232421875;1028;1000;-39.555128007179228;29.1894248068013
