Name;Measurements;
File;E:\hawino\Measurements\WallCrash.csv;
Starttime of export;133262943588028000;Dienstag, 18. April 2023;14:25:58.802
Endtime of export;133262943676393450;Dienstag, 18. April 2023;14:26:07.639


Name;xCam, yCam X;xCam, yCam Y;xObs, yObs X;xObs, yObs Y;xRef, yRef X;xRef, yRef Y;xKalman, yKalman X;xKalman, yKalman Y;xRef;xCam;xKalman;yObs;yRef;yCam;yKalman;thetaObs;thetaCam;thetaKalman;thetaRef;vX;vXRef;vXContr;vY;vYRef;vYContr;vTheta;vThetaRef;vThetaContr;newCamDataArrived;bumper;accuracyTheta;accuracyXY;arcLengthSlow;Name;FeedForwardLinearization;Name;kObsDelayedCycles;maxAcc;maxRadius;maxRotAcc;maxRotVel;maxSlowVel;maxVel;samplingTime;sObsDelayedCycles;thetaDZ;vrot_max;vtrans_max;i1;i2;i3

0;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;-4;0;0;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;3;0;0
2;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;6;0;2;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;3;0;0
4;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;16;0;4;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;3;0;-10
6;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;26;0;6;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;3;0;-7
8;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;36;0;8;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;0;0;-8
10;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;46;0;10;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;0;0;0
12;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;56;0;12;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;0;0;0
14;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;66;0;14;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;0;0;0
16;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;76;0;16;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;0;0;-3
18;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;86;0;18;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;3;0;5
20;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;96;0;20;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;3;0;-3
22;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;106;0;22;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;3;0;-1
24;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;116;0;24;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;3;0;0
